slug,date_first,date_last,date_certainty,who,attendee_class,city,state,venue,geocode_method,arrival_airport,arrival_airport_name,arrival_selection_basis,arrival_dist_from_city_mi,est_arrival_local,est_departure_local,est_confidence,kirk_side_observed_on_adsb,airports_within_radius,jet_capable,light_jet_capable,no_scheduled_service,su_found_in_radius,adsb_ground_contacts,adsb_ground_contacts_su,flights_csv_stays,flights_csv_stays_su,claimed_overlaps,su_just_outside_radius,su_just_outside_tails,archive_control_verdict,aircraft_days_needed,aircraft_days_held,coverage_pct_all_tails,coverage_pct_following_fleet,queried_pct_following_fleet,following_days_never_asked,yaml
20221013_east_lansing,2022-10-13,2022-10-13,EVENT_DATE,TPUSA,TPUSA_NO_KIRK,East Lansing,MI,"North Business Building N130, Michigan State University",us_census_2024_gazetteer,KLAN,Capital Region International Airport,CURATED_CSV_AND_COMPUTED_NEAREST_JET_FIELD_AGREE,5.6,2022-10-13 16:00,2022-10-13 23:00,medium,0,55,5,3,54,no,0,0,0,0,0,0,,ARCHIVE RETENTION BOUNDARY,85,0,0.0,0.0,100.0,0,site/docs/Planes/following/speaking/20221013_east_lansing.yaml
20221017_fargo,2022-10-17,2022-10-17,EVENT_DATE,TPUSA,TPUSA_NO_KIRK,Fargo,ND,"NDSU Memorial Union, Oceti Sakowin Ballroom",us_census_2024_gazetteer,KFAR,Hector International Airport,CURATED_CSV_AND_COMPUTED_NEAREST_JET_FIELD_AGREE,3.9,2022-10-17 16:00,2022-10-17 23:00,medium,0,51,1,1,50,no,0,0,0,0,0,0,,ARCHIVE RETENTION BOUNDARY,85,0,0.0,0.0,100.0,0,site/docs/Planes/following/speaking/20221017_fargo.yaml
20221018_kansas_city,2022-10-18,2022-10-18,EVENT_DATE,Charlie,CHARLIE_ONLY,Kansas City,MO,University of Missouri-Kansas City,ourairports_municipality_centroid,KMCI,Kansas City International Airport,CURATED_tpusa_events.csv_VALUE_KEPT_computed_nearest_jet_field_DIFFERS,14.0,2022-10-18 16:00,2022-10-18 23:00,low,0,71,8,3,70,no,0,0,0,0,0,0,,ARCHIVE RETENTION BOUNDARY,85,0,0.0,0.0,100.0,0,site/docs/Planes/following/speaking/20221018_kansas_city.yaml
20221020_tallahassee,2022-10-20,2022-10-20,EVENT_DATE,Charlie,CHARLIE_ONLY,Tallahassee,FL,Florida State University,us_census_2024_gazetteer,KTLH,Tallahassee International Airport,CURATED_CSV_AND_COMPUTED_NEAREST_JET_FIELD_AGREE,7.1,2022-10-20 16:00,2022-10-20 23:00,low,0,18,1,1,17,no,0,0,0,0,0,0,,ARCHIVE RETENTION BOUNDARY,85,0,0.0,0.0,100.0,0,site/docs/Planes/following/speaking/20221020_tallahassee.yaml
20221025_charlotte,2022-10-25,2022-10-25,EVENT_DATE,Charlie,CHARLIE_ONLY,Charlotte,NC,"Popp Martin Student Union, UNC Charlotte, 8845 Craver Rd",us_census_2024_gazetteer,KCLT,Charlotte Douglas International Airport,CURATED_CSV_AND_COMPUTED_NEAREST_JET_FIELD_AGREE,6.3,2022-10-25 16:00,2022-10-25 23:00,medium,0,68,10,0,66,no,0,0,0,0,0,0,,ARCHIVE RETENTION BOUNDARY,85,0,0.0,0.0,100.0,0,site/docs/Planes/following/speaking/20221025_charlotte.yaml
20221130_albuquerque,2022-11-30,2022-11-30,EVENT_DATE,Charlie,CHARLIE_ONLY,Albuquerque,NM,University of New Mexico,us_census_2024_gazetteer,KABQ,Albuquerque International Sunport,CURATED_CSV_AND_COMPUTED_NEAREST_JET_FIELD_AGREE,5.0,2022-11-30 16:00,2022-11-30 23:00,medium,0,15,4,2,14,no,0,0,0,0,0,0,,ARCHIVE RETENTION BOUNDARY,85,4,4.7,3.3,100.0,0,site/docs/Planes/following/speaking/20221130_albuquerque.yaml
20221217_phoenix,2022-12-17,2022-12-20,EVENT_DATE,Charlie,CHARLIE_ONLY,Phoenix,AZ,Phoenix Convention Center,us_census_2024_gazetteer,KPHX,Phoenix Sky Harbor International Airport,CURATED_tpusa_events.csv_VALUE_KEPT_computed_nearest_jet_field_DIFFERS,10.6,2022-12-17 16:00,2022-12-20 23:00,low,0,43,11,5,41,no,0,0,0,0,0,0,,ARCHIVE RETENTION BOUNDARY,136,0,0.0,0.0,100.0,0,site/docs/Planes/following/speaking/20221217_phoenix.yaml
20230208_tempe,2023-02-08,2023-02-08,EVENT_DATE,Charlie,CHARLIE_ONLY,Tempe,AZ,ASU Gammage Auditorium (T.W. Lewis Center / Barrett Honors College),us_census_2024_gazetteer,KPHX,Phoenix Sky Harbor International Airport,CURATED_CSV_AND_COMPUTED_NEAREST_JET_FIELD_AGREE,5.4,2023-02-08 16:00,2023-02-08 23:00,medium,0,43,11,5,41,no,0,0,0,0,0,0,,ARCHIVE HEALTHY,85,17,20.0,6.7,100.0,0,site/docs/Planes/following/speaking/20230208_tempe.yaml
20230301_santa_barbara,2023-03-01,2023-03-01,EVENT_DATE,Charlie,CHARLIE_ONLY,Santa Barbara,CA,"University of California, Santa Barbara",us_census_2024_gazetteer,KSBA,Santa Barbara Municipal Airport,CURATED_CSV_AND_COMPUTED_NEAREST_JET_FIELD_AGREE,7.4,2023-03-01 16:00,2023-03-01 23:00,low,0,17,2,1,16,no,0,0,0,0,0,0,,ARCHIVE HEALTHY,85,10,11.8,3.3,100.0,0,site/docs/Planes/following/speaking/20230301_santa_barbara.yaml
20230308_lexington,2023-03-08,2023-03-08,EVENT_DATE,Charlie,CHARLIE_ONLY,Lexington,KY,University of Kentucky,ourairports_municipality_centroid,KLEX,Blue Grass Airport,CURATED_CSV_AND_COMPUTED_NEAREST_JET_FIELD_AGREE,8.4,2023-03-08 16:00,2023-03-08 23:00,low,0,37,7,0,36,no,0,0,0,0,0,0,,ARCHIVE HEALTHY,85,8,9.4,6.7,100.0,0,site/docs/Planes/following/speaking/20230308_lexington.yaml
