tail,date,source,dbFlags,flags,ownOp,registration,file
N582MM,2025-08-16,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-08-16_airplanes-live_trace_full.json.gz
N582MM,2025-08-17,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-08-17_adsb-lol_trace_full.json.gz
N582MM,2025-08-17,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-08-17_airplanes-live_trace_full.json.gz
N582MM,2025-08-18,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-08-18_adsb-lol_trace_full.json.gz
N582MM,2025-08-18,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-08-18_airplanes-live_trace_full.json.gz
N582MM,2025-08-21,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-08-21_adsb-lol_trace_full.json.gz
N582MM,2025-08-21,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-08-21_airplanes-live_trace_full.json.gz
N582MM,2025-08-22,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-08-22_adsb-lol_trace_full.json.gz
N582MM,2025-08-22,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-08-22_airplanes-live_trace_full.json.gz
N582MM,2025-08-23,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-08-23_adsb-lol_trace_full.json.gz
N582MM,2025-08-23,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-08-23_airplanes-live_trace_full.json.gz
N582MM,2025-08-24,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-08-24_adsb-lol_trace_full.json.gz
N582MM,2025-08-24,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-08-24_airplanes-live_trace_full.json.gz
N582MM,2025-08-26,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-08-26_airplanes-live_trace_full.json.gz
N582MM,2025-08-27,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-08-27_airplanes-live_trace_full.json.gz
N582MM,2025-08-28,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-08-28_airplanes-live_trace_full.json.gz
N582MM,2025-08-29,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-08-29_airplanes-live_trace_full.json.gz
N582MM,2025-08-30,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-08-30_airplanes-live_trace_full.json.gz
N582MM,2025-09-01,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-09-01_adsb-lol_trace_full.json
N582MM,2025-09-01,adsbexchange-samples,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-09-01_adsbexchange-samples_trace_full.json
N582MM,2025-09-01,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-09-01_airplanes-live_trace_full.json
N582MM,2025-09-02,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-09-02_adsb-lol_trace_full.json
N582MM,2025-09-02,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-09-02_airplanes-live_trace_full.json
N582MM,2025-09-03,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-09-03_adsb-lol_trace_full.json
N582MM,2025-09-03,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-09-03_airplanes-live_trace_full.json
N582MM,2025-09-05,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-09-05_adsb-lol_trace_full.json
N582MM,2025-09-05,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-09-05_airplanes-live_trace_full.json
N582MM,2025-09-06,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-09-06_adsb-lol_trace_full.json
N582MM,2025-09-06,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-09-06_airplanes-live_trace_full.json
N582MM,2025-09-07,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-09-07_adsb-lol_trace_full.json
N582MM,2025-09-07,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-09-07_airplanes-live_trace_full.json
N582MM,2025-09-08,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-09-08_adsb-lol_trace_full.json
N582MM,2025-09-08,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-09-08_airplanes-live_trace_full.json
N582MM,2025-09-09,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-09-09_adsb-lol_trace_full.json
N582MM,2025-09-09,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-09-09_airplanes-live_trace_full.json
N582MM,2025-09-10,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-09-10_adsb-lol_trace_full.json
N582MM,2025-09-10,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-09-10_airplanes-live_trace_full.json
N582MM,2025-09-11,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-09-11_adsb-lol_trace_full.json
N582MM,2025-09-11,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-09-11_airplanes-live_trace_full.json
N582MM,2025-09-12,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-09-12_adsb-lol_trace_full.json
N582MM,2025-09-12,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-09-12_airplanes-live_trace_full.json
N582MM,2025-09-13,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-09-13_adsb-lol_trace_full.json
