adelson_tail,tel_aviv_first_heard_utc,previous_field,previous_country,previous_last_heard_utc,hours_previous_to_tel_aviv,kirk_side_jets_at_previous_field_6h
N337LS,2026-07-09T04:54:03.180000+00:00,LLBG,IL,2026-06-23T04:55:50.650000+00:00,384.0,
N338LS,2024-05-31T11:12:50.910000+00:00,KSBA,US,2024-05-21T22:49:44.180000+00:00,228.4,
N338LS,2025-11-24T18:13:40.330000+00:00,KLAS,US,2025-11-24T03:50:49.910000+00:00,14.4,
N338LS,2025-11-26T13:54:03.680000+00:00,LLBG,IL,2025-11-24T18:18:20.920000+00:00,43.6,
N338LS,2025-11-30T19:55:39.620000+00:00,LLBG,IL,2025-11-26T13:56:06.160000+00:00,102.0,
N338LS,2025-12-03T10:00:54.770000+00:00,KEWR,US,2025-12-03T00:26:35.600000+00:00,9.6,
N338LS,2025-12-07T18:41:52.330000+00:00,OMAA,AE,2025-12-07T15:29:55.770000+00:00,3.2,
N338LS,2025-12-08T22:11:25.950000+00:00,LLBG,IL,2025-12-07T18:48:49.670000+00:00,27.4,
N338LS,2026-02-08T16:22:33.310000+00:00,KLAS,US,2026-02-08T01:08:33.690000+00:00,15.2,
N338LS,2026-02-10T12:12:15.810000+00:00,LLBG,IL,2026-02-08T16:28:40.150000+00:00,43.7,
N338LS,2026-02-12T13:55:30.090000+00:00,LLBG,IL,2026-02-10T12:22:54.980000+00:00,49.5,
N338LS,2026-02-25T06:47:36.860000+00:00,OMDW,AE,2026-02-25T03:41:09.740000+00:00,3.1,
N338LS,2026-07-14T17:06:57.790000+00:00,KLAS,US,2026-07-14T01:06:39.040000+00:00,16.0,
N338LS,2026-07-17T05:46:38.460000+00:00,LCLK,CY,2026-07-14T19:14:46.170000+00:00,58.5,
N338LS,2026-07-22T15:50:23.890000+00:00,LEBL,ES,2026-07-17T12:39:50.980000+00:00,123.2,
N338LS,2026-07-27T03:53:22.260000+00:00,LEIB,ES,2026-07-27T00:17:45.280000+00:00,3.6,
N338LS,2026-07-29T10:58:14.310000+00:00,LLBG,IL,2026-07-27T04:43:05.860000+00:00,54.3,
