tail,source,field,before,after,last_day_before,first_day_after,bracket_days
N804MS,airplanes-live,summary,first held 2023-02-08 flags=LADD ownOp=INTERFACE OPERATIONS LLC,last held 2026-09-08 flags=LADD ownOp=INTERFACE OPERATIONS LLC,,,167
N872RA,adsb-lol,summary,first held 2023-03-03 flags=none ownOp=A&E HAWKER LP,last held 2025-10-10 flags=none ownOp=A&E HAWKER LP,,,166
N872RA,adsbexchange-samples,flags,not_in_header,none,2022-04-01,2022-12-01,244
N872RA,adsbexchange-samples,summary,first held 2022-04-01 flags=not_in_header ownOp=A&E HAWKER LP,last held 2026-08-01 flags=none ownOp=A&E HAWKER LP,,,24
N872RA,airplanes-live,ownOp,A&E HAWKER LP,,2023-03-05,2023-03-10,5
N872RA,airplanes-live,ownOp,,A&E HAWKER LP,2023-08-24,2023-12-27,125
N872RA,airplanes-live,summary,first held 2023-02-06 flags=none ownOp=A&E HAWKER LP,last held 2026-09-16 flags=none ownOp=A&E HAWKER LP,,,670
N885LS,adsb-lol,summary,first held 2023-09-06 flags=LADD ownOp=LAS VEGAS SANDS CORP,last held 2023-09-11 flags=LADD ownOp=LAS VEGAS SANDS CORP,,,2
N885LS,airplanes-live,flags,LADD,none,2023-03-09,2023-03-12,3
N885LS,airplanes-live,ownOp,LAS VEGAS SANDS CORP,,2023-03-09,2023-03-12,3
N885LS,airplanes-live,flags,none,not_in_header,2023-09-03,2023-09-12,9
N885LS,airplanes-live,registration,N885LS,,2023-09-03,2023-09-12,9
N885LS,airplanes-live,flags,not_in_header,LADD,2023-10-04,2023-10-06,2
N885LS,airplanes-live,ownOp,,LAS VEGAS SANDS CORP,2023-10-04,2023-10-06,2
N885LS,airplanes-live,registration,,N885LS,2023-10-04,2023-10-06,2
N885LS,airplanes-live,summary,first held 2023-02-07 flags=LADD ownOp=LAS VEGAS SANDS CORP,last held 2026-09-16 flags=LADD ownOp=LAS VEGAS SANDS CORP,,,420
N888KG,adsb-lol,summary,first held 2023-04-30 flags=LADD ownOp=N888KG LLC,last held 2025-10-09 flags=LADD ownOp=N888KG LLC,,,78
N888KG,adsbexchange-samples,flags,not_in_header,none,2022-04-01,2022-06-01,61
N888KG,adsbexchange-samples,flags,none,LADD,2022-07-01,2022-12-01,153
N888KG,adsbexchange-samples,ownOp,TM300 LLC,N888KG LLC,2022-07-01,2022-12-01,153
N888KG,adsbexchange-samples,summary,first held 2022-03-01 flags=not_in_header ownOp=TM300 LLC,last held 2026-02-01 flags=LADD ownOp=N888KG LLC,,,13
N888KG,airplanes-live,flags,LADD,none,2023-02-11,2023-04-15,63
N888KG,airplanes-live,ownOp,N888KG LLC,,2023-02-11,2023-04-15,63
N888KG,airplanes-live,flags,none,not_in_header,2023-08-26,2023-09-25,30
N888KG,airplanes-live,registration,N888KG,,2023-08-26,2023-09-25,30
N888KG,airplanes-live,flags,not_in_header,LADD,2023-09-29,2023-10-09,10
N888KG,airplanes-live,ownOp,,N888KG LLC,2023-09-29,2023-10-09,10
N888KG,airplanes-live,registration,,N888KG,2023-09-29,2023-10-09,10
N888KG,airplanes-live,summary,first held 2023-02-09 flags=LADD ownOp=N888KG LLC,last held 2026-09-07 flags=LADD ownOp=N888KG LLC,,,212
N889LS,adsb-lol,summary,first held 2024-05-13 flags=LADD ownOp=LAS VEGAS SANDS CORP,last held 2024-05-13 flags=LADD ownOp=LAS VEGAS SANDS CORP,,,1
N889LS,airplanes-live,flags,LADD,none,2023-02-16,2023-03-20,32
N889LS,airplanes-live,ownOp,LAS VEGAS SANDS CORP,,2023-02-16,2023-03-20,32
N889LS,airplanes-live,flags,none,not_in_header,2023-08-11,2023-09-27,47
N889LS,airplanes-live,registration,N889LS,,2023-08-11,2023-09-27,47
N889LS,airplanes-live,flags,not_in_header,LADD,2023-10-03,2023-10-09,6
N889LS,airplanes-live,ownOp,,LAS VEGAS SANDS CORP,2023-10-03,2023-10-09,6
N889LS,airplanes-live,registration,,N889LS,2023-10-03,2023-10-09,6
N889LS,airplanes-live,summary,first held 2023-02-13 flags=LADD ownOp=LAS VEGAS SANDS CORP,last held 2026-09-16 flags=LADD ownOp=LAS VEGAS SANDS CORP,,,375
T7-ELL,adsb-lol,summary,first held 2023-02-24 flags=none ownOp=,last held 2025-10-11 flags=none ownOp=,,,147
T7-ELL,adsbexchange-samples,flags,not_in_header,none,2022-02-01,2022-08-01,181
T7-ELL,adsbexchange-samples,flags,none,LADD,2026-02-01,2026-05-01,89
T7-ELL,adsbexchange-samples,summary,first held 2022-02-01 flags=not_in_header ownOp=,last held 2026-08-01 flags=LADD ownOp=,,,12
T7-ELL,airplanes-live,ownOp,,Sunset Aviation - Llc - United States Of America,2023-09-04,2023-10-18,44
T7-ELL,airplanes-live,ownOp,Sunset Aviation - Llc - United States Of America,,2024-12-30,2025-06-24,176
T7-ELL,airplanes-live,flags,none,LADD,2026-07-04,2026-07-10,6
T7-ELL,airplanes-live,summary,first held 2023-02-24 flags=none ownOp=,last held 2026-09-16 flags=LADD ownOp=,,,351
