tail,day,year,era,airport,airport_name,is_kilg,lat,lon,first,last,gpts,sources,match_class,w2_in_radius,w2_mi,w2_gap,w2_event,w2_arr,w2_city,w2_state,w2_class,w2_charlie,w2_erika,w2_certainty,na_events_within_0d,w0_mi,w0_gap,w0_event,na_events_within_1d,w1_mi,w1_gap,w1_event,na_events_within_2d,w2_mi,w2_gap,w2_event,na_events_within_3d,w3_mi,w3_gap,w3_event,na_events_within_7d,w7_mi,w7_gap,w7_event
SU-BGM,2025-04-10,2025,BEFORE_DEATH,KPVU,Provo Municipal Airport,no,40.22222,-111.72336,2025-04-10T22:11:10.400000Z,2025-04-10T22:16:03.130000Z,63,"adsb-lol,airplanes-live",FAR_GT250MI,no,1193.4,2,20250408_normal,KBMI,Normal,IL,CHARLIE_ONLY,yes,not_documented,EVENT_DATE,1,1302.0,0,20250410_west_lafayette,2,1302.0,0,20250410_west_lafayette,4,1193.4,2,20250408_normal,4,1193.4,2,20250408_normal,4,1193.4,2,20250408_normal
SU-BTU,2025-05-01,2025,BEFORE_DEATH,KILG,Wilmington Airport,yes,39.66967,-75.60284,2025-05-01T11:49:46.720000Z,2025-05-01T11:53:03.430000Z,26,adsbexchange-samples,FAR_GT250MI,no,2340.9,0,20250501_san_diego,KSAN,San Diego,CA,CHARLIE_ONLY,yes,not_documented,EVENT_DATE,1,2340.9,0,20250501_san_diego,1,2340.9,0,20250501_san_diego,1,2340.9,0,20250501_san_diego,1,2340.9,0,20250501_san_diego,3,1573.0,7,20250424_laramie
SU-BND,2025-05-23,2025,BEFORE_DEATH,KPVU,Provo Municipal Airport,no,40.2281,-111.72798,2025-05-23T20:38:06.220000Z,2025-05-23T20:46:42.320000Z,141,"adsb-lol,airplanes-live",NO_NA_EVENT_WITHIN_2D,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,
SU-BTV,2025-08-06,2025,BEFORE_DEATH,KILG,Wilmington Airport,yes,39.67119,-75.60361,2025-08-06T11:55:08.890000Z,2025-08-06T11:55:15Z,2,"adsb-lol,airplanes-live",FAR_GT250MI,no,2381.3,0,20250806_rancho_palos_verdes,KTOA,Rancho Palos Verdes,CA,CHARLIE_ONLY,yes,not_documented,EVENT_DATE,1,2381.3,0,20250806_rancho_palos_verdes,1,2381.3,0,20250806_rancho_palos_verdes,1,2381.3,0,20250806_rancho_palos_verdes,1,2381.3,0,20250806_rancho_palos_verdes,1,2381.3,0,20250806_rancho_palos_verdes
SU-BTT,2025-08-23,2025,BEFORE_DEATH,KILG,Wilmington Airport,yes,39.67206,-75.6035,2025-08-23T14:44:13.540000Z,2025-08-23T14:44:13.540000Z,1,"adsb-lol,airplanes-live",FAR_GT250MI,no,439.0,2,20250821_north_myrtle_beach,KCRE,North Myrtle Beach,SC,CHARLIE_ONLY,yes,not_documented,EVENT_DATE,0,,,,1,1267.7,1,20250820_dallas,2,439.0,2,20250821_north_myrtle_beach,2,439.0,2,20250821_north_myrtle_beach,2,439.0,2,20250821_north_myrtle_beach
SU-BTT,2025-09-04,2025,BEFORE_DEATH,KMOT,Minot International Airport,no,48.25032,-101.26887,2025-09-04T16:03:00.780000Z,2025-09-04T16:03:00.780000Z,1,airplanes-live,NO_NA_EVENT_WITHIN_2D,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,2,666.6,7,20250911_woodland_park
SU-BTT,2025-09-04,2025,BEFORE_DEATH,KPVU,Provo Municipal Airport,no,40.22742,-111.72738,2025-09-04T18:45:52.400000Z,2025-09-04T18:54:07.470000Z,141,"adsb-lol,airplanes-live",NO_NA_EVENT_WITHIN_2D,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,2,5.1,6,20250910_orem
SU-BND,2025-09-05,2025,BEFORE_DEATH,KPVU,Provo Municipal Airport,no,40.23021,-111.73225,2025-09-05T18:05:43.020000Z,2025-09-05T18:05:43.450000Z,2,"adsb-lol,airplanes-live",NO_NA_EVENT_WITHIN_2D,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,2,5.0,5,20250910_orem
SU-BND,2025-09-05,2025,BEFORE_DEATH,KPVU,Provo Municipal Airport,no,40.22634,-111.72642,2025-09-05T19:14:15.570000Z,2025-09-05T19:22:49.420000Z,73,"adsb-lol,airplanes-live",NO_NA_EVENT_WITHIN_2D,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,2,5.2,5,20250910_orem
SU-BND,2025-09-05,2025,BEFORE_DEATH,KPVU,Provo Municipal Airport,no,40.2298,-111.72769,2025-09-05T22:53:06.190000Z,2025-09-05T23:49:20.640000Z,148,"adsb-lol,airplanes-live",NO_NA_EVENT_WITHIN_2D,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,2,4.9,5,20250910_orem
SU-BND,2025-09-06,2025,BEFORE_DEATH,KPVU,Provo Municipal Airport,no,40.22983,-111.72768,2025-09-06T19:18:01Z,2025-09-06T20:02:38.090000Z,140,"adsb-lol,airplanes-live",NO_NA_EVENT_WITHIN_2D,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,2,4.9,4,20250910_orem
SU-BND,2025-09-07,2025,BEFORE_DEATH,KPVU,Provo Municipal Airport,no,40.22983,-111.72768,2025-09-07T16:31:39.470000Z,2025-09-07T18:13:37.800000Z,206,"adsb-lol,airplanes-live",NO_NA_EVENT_WITHIN_2D,,,,,,,,,,,,0,,,,0,,,,0,,,,1,4.9,3,20250910_orem,2,4.9,3,20250910_orem
SU-BND,2025-09-08,2025,BEFORE_DEATH,KPVU,Provo Municipal Airport,no,40.22982,-111.72768,2025-09-08T18:49:05.260000Z,2025-09-08T20:08:45.400000Z,182,"adsb-lol,airplanes-live",SAME_AIRPORT,yes,4.9,2,20250910_orem,KPVU,Orem,UT,CHARLIE_ONLY,yes,not_documented,EVENT_DATE,0,,,,0,,,,1,4.9,2,20250910_orem,2,4.9,2,20250910_orem,2,4.9,2,20250910_orem
SU-BND,2025-09-09,2025,BEFORE_DEATH,KPVU,Provo Municipal Airport,no,40.22982,-111.72768,2025-09-09T20:03:30.660000Z,2025-09-09T20:38:55.450000Z,131,"adsb-lol,airplanes-live",SAME_AIRPORT,yes,4.9,1,20250910_orem,KPVU,Orem,UT,CHARLIE_ONLY,yes,not_documented,EVENT_DATE,0,,,,1,4.9,1,20250910_orem,2,4.9,1,20250910_orem,2,4.9,1,20250910_orem,2,4.9,1,20250910_orem
SU-BND,2025-09-10,2025,DAY_OF,KPVU,Provo Municipal Airport,no,40.22982,-111.72769,2025-09-10T16:05:35.770000Z,2025-09-10T17:34:09.210000Z,100,"adsb-lol,airplanes-live",SAME_AIRPORT,yes,4.9,0,20250910_orem,KPVU,Orem,UT,CHARLIE_ONLY,yes,not_documented,EVENT_DATE,1,4.9,0,20250910_orem,2,4.9,0,20250910_orem,2,4.9,0,20250910_orem,2,4.9,0,20250910_orem,2,4.9,0,20250910_orem
SU-BND,2025-09-10,2025,DAY_OF,KPVU,Provo Municipal Airport,no,40.22982,-111.72768,2025-09-10T19:40:53.460000Z,2025-09-10T20:29:38.710000Z,156,"adsb-lol,airplanes-live",SAME_AIRPORT,yes,4.9,0,20250910_orem,KPVU,Orem,UT,CHARLIE_ONLY,yes,not_documented,EVENT_DATE,1,4.9,0,20250910_orem,2,4.9,0,20250910_orem,2,4.9,0,20250910_orem,2,4.9,0,20250910_orem,2,4.9,0,20250910_orem
