slug,date,group,attendee_class,city,state,airport,su_in_radius,su_just_outside,su_just_outside_tails,cov_following_pct,ac_days_needed,ac_days_held,control_verdict
20231109_los_angeles,2023-11-09,CHARLIE_ONLY,CHARLIE_ONLY,Los Angeles,CA,KLAX,no,0,,6.7,75,9,ARCHIVE HEALTHY
20231216_phoenix,2023-12-16,CHARLIE_ONLY,CHARLIE_ONLY,Phoenix,AZ,KPHX,no,0,,4.2,120,14,ARCHIVE HEALTHY
20240129_las_vegas,2024-01-29,CHARLIE_ONLY,CHARLIE_ONLY,Las Vegas,NV,KLAS,no,0,,3.0,165,21,ARCHIVE HEALTHY
20240306_chapel_hill,2024-03-06,TPUSA_NO_KIRK_PREDEATH,TPUSA_NO_KIRK,Chapel Hill,NC,KRDU,no,0,,10.0,75,15,ARCHIVE HEALTHY
20240307_san_luis_obispo,2024-03-07,CHARLIE_ONLY,CHARLIE_ONLY,San Luis Obispo,CA,KSBP,no,0,,10.0,75,14,ARCHIVE HEALTHY
20240314_fullerton,2024-03-14,CHARLIE_ONLY,CHARLIE_ONLY,Fullerton,CA,KFUL,no,0,,3.3,75,9,ARCHIVE HEALTHY
20240318_san_diego,2024-03-18,CHARLIE_ONLY,CHARLIE_ONLY,San Diego,CA,KSAN,no,0,,6.7,75,16,ARCHIVE HEALTHY
20240319_phoenix,2024-03-19,CHARLIE_ONLY,CHARLIE_ONLY,Phoenix,AZ,KPHX,no,0,,6.7,75,18,ARCHIVE HEALTHY
20240319_pittsburgh,2024-03-19,TPUSA_NO_KIRK_PREDEATH,TPUSA_NO_KIRK,Pittsburgh,PA,KPIT,no,0,,6.7,75,18,ARCHIVE HEALTHY
20240321_las_vegas,2024-03-21,CHARLIE_ONLY,CHARLIE_ONLY,Las Vegas,NV,KLAS,no,0,,10.0,75,20,ARCHIVE HEALTHY
20240327_lubbock,2024-03-27,CHARLIE_ONLY,CHARLIE_ONLY,Lubbock,TX,KLBB,no,0,,20.0,75,16,ARCHIVE HEALTHY
20240403_lawrence,2024-04-03,CHARLIE_ONLY,CHARLIE_ONLY,Lawrence,KS,KLWC,no,0,,26.7,75,22,ARCHIVE HEALTHY
20240409_omaha,2024-04-09,CHARLIE_ONLY,CHARLIE_ONLY,Omaha,NE,KOMA,no,0,,6.7,75,17,ARCHIVE HEALTHY
20240423_salt_lake_city,2024-04-23,CHARLIE_ONLY,CHARLIE_ONLY,Salt Lake City,UT,KSLC,no,3,SU-BND;SU-BTT,6.7,75,12,ARCHIVE HEALTHY
20240507_seattle,2024-05-07,CHARLIE_ONLY,CHARLIE_ONLY,Seattle,WA,KSEA,no,0,,20.0,75,17,ARCHIVE HEALTHY
20240508_las_vegas,2024-05-08,CHARLIE_ONLY,CHARLIE_ONLY,Las Vegas,NV,KLAS,no,0,,20.0,75,16,ARCHIVE HEALTHY
20240516_san_diego,2024-05-16,CHARLIE_ONLY,CHARLIE_ONLY,San Diego,CA,KSAN,no,0,,20.0,75,11,ARCHIVE HEALTHY
20240607_san_antonio,2024-06-07,CHARLIE_ONLY,CHARLIE_ONLY,San Antonio,TX,KSAT,no,0,,21.4,105,24,ARCHIVE HEALTHY
