fleet,kind,first_seen_at_radius,first_seen_at_window,driver,slug,tail,event_date,event_city,event_state,attendee_class,charlie_present,erika_present,event_arrival_airport,plane_day,day_offset_from_event,plane_airport,plane_airport_name,dist_event_to_plane_airport_mi,altitude_ft,ground_points,first_seen_utc,last_seen_utc,source,n_hits_in_window
KIRK,NEARFIELD_LOWPASS,100,2,RADIUS_ONLY,20240318_san_diego,N102DZ,2024-03-18,San Diego,CA,CHARLIE_ONLY,yes,not_documented,KSAN,2024-03-17,-1,KTRM,Jacqueline Cochran Regional Airport,79.5,6000,,2024-03-17T18:27:11.140000Z,,airplanes-live,3
KIRK,NEARFIELD_LOWPASS,100,2,RADIUS_ONLY,20240318_san_diego,N560TW,2024-03-18,San Diego,CA,CHARLIE_ONLY,yes,not_documented,KSAN,2024-03-18,0,KFUL,Fullerton Municipal Airport,87.8,6000,,2024-03-18T15:52:34.250000Z,,adsb-lol,4
KIRK,NEARFIELD_LOWPASS,100,2,RADIUS_ONLY,20240930_missoula,N872RA,2024-09-30,Missoula,MT,CHARLIE_ONLY,yes,not_documented,KMSO,2024-10-01,1,KS27,Kalispell City Airport,91.0,2950,,2024-10-01T20:05:24.550000Z,,adsbexchange-samples,6
KIRK,NEARFIELD_LOWPASS,100,2,RADIUS_ONLY,20241015_flagstaff,N560TW,2024-10-15,Flagstaff,AZ,CHARLIE_ONLY,yes,not_documented,KFLG,2024-10-17,2,18AZ,Sky Ranch At Carefree Airport,95.7,5975,,2024-10-17T00:39:58.180000Z,,adsb-lol,2
KIRK,NEARFIELD_LOWPASS,100,2,RADIUS_ONLY,20241015_flagstaff,N582MM,2024-10-15,Flagstaff,AZ,CHARLIE_ONLY,yes,not_documented,KFLG,2024-10-13,-2,18AZ,Sky Ranch At Carefree Airport,95.7,5975,,2024-10-13T06:25:52.220000Z,,adsb-lol,4
KIRK,NEARFIELD_LOWPASS,100,2,RADIUS_ONLY,20241015_flagstaff,N872RA,2024-10-15,Flagstaff,AZ,CHARLIE_ONLY,yes,not_documented,KFLG,2024-10-16,1,18AZ,Sky Ranch At Carefree Airport,95.7,6000,,2024-10-16T19:29:31.780000Z,,adsb-lol,2
KIRK,NEARFIELD_LOWPASS,100,5,RADIUS_AND_WINDOW,20241016_tucson,N872RA,2024-10-16,Tucson,AZ,CHARLIE_ONLY,yes,not_documented,KTUS,2024-10-12,-4,KP19,Stellar Airpark,99.8,3325,,2024-10-12T16:14:46.730000Z,,adsb-lol,2
KIRK,NEARFIELD_LOWPASS,100,2,RADIUS_ONLY,20250424_laramie,N40JD,2025-04-24,Laramie,WY,CHARLIE_ONLY,yes,not_documented,KLAR,2025-04-23,-1,US-6650,Leyners Hayfield Airport,90.9,5600,,2025-04-23T20:27:29.020000Z,,adsb-lol,12
KIRK,NEARFIELD_LOWPASS,100,5,RADIUS_AND_WINDOW,20250506_san_francisco,N2100L,2025-05-06,San Francisco,CA,CHARLIE_ONLY,yes,not_documented,KSFO,2025-05-01,-5,KEDU,University Airport,87.6,5975,,2025-05-01T17:09:07.630000Z,,adsbexchange-samples,6
KIRK,NEARFIELD_LOWPASS,100,2,RADIUS_ONLY,20251016_norman,N582MM,2025-10-16,Norman,OK,TPUSA_NO_KIRK,no_deceased,unknown,KOUN,2025-10-16,0,KRVS,Tulsa Riverside Airport,94.3,3150,,2025-10-16T15:45:22.500000Z,,airplanes-live,1
KIRK,NEARFIELD_LOWPASS,150,2,RADIUS_ONLY,20230301_santa_barbara,N872RA,2023-03-01,Santa Barbara,CA,CHARLIE_ONLY,yes,not_documented,KSBA,2023-03-03,2,KSNA,John Wayne Orange County International Airport,117.0,50,,2023-03-03T14:07:51.280000Z,,adsb-lol,2
KIRK,NEARFIELD_LOWPASS,150,2,RADIUS_ONLY,20230919_flagstaff,N582MM,2023-09-19,Flagstaff,AZ,CHARLIE_ONLY,yes,not_documented,KFLG,2023-09-19,0,AZ64,Rio Vista Hills Airport,104.6,4500,,2023-09-19T14:08:20.750000Z,,adsb-lol,31
KIRK,NEARFIELD_LOWPASS,150,2,RADIUS_ONLY,20240129_las_vegas,N1098L,2024-01-29,Las Vegas,NV,CHARLIE_ONLY,yes,not_documented,KLAS,2024-02-01,3,KEED,Needles Airport,107.6,5950,,2024-02-01T21:24:12.720000Z,,adsbexchange-samples,4
KIRK,NEARFIELD_LOWPASS,150,2,RADIUS_ONLY,20240307_san_luis_obispo,N102DZ,2024-03-07,San Luis Obispo,CA,CHARLIE_ONLY,yes,not_documented,KSBP,2024-03-09,2,KVNY,Van Nuys Airport,143.6,3500,,2024-03-09T04:30:13.680000Z,,adsb-lol,4
KIRK,NEARFIELD_LOWPASS,150,5,RADIUS_AND_WINDOW,20240319_pittsburgh,N888KG,2024-03-19,Pittsburgh,PA,TPUSA_NO_KIRK,no,no,KPIT,2024-03-23,4,KCGF,Cuyahoga County Airport,110.7,2400,,2024-03-23T13:43:34.400000Z,,adsb-lol,6
KIRK,NEARFIELD_LOWPASS,150,7,RADIUS_AND_WINDOW,20240508_las_vegas,N1098L,2024-05-08,Las Vegas,NV,CHARLIE_ONLY,yes,not_documented,KLAS,2024-05-01,-7,KSGU,St George Regional Airport,111.9,5475,,2024-05-01T16:21:23.070000Z,,adsbexchange-samples,5
KIRK,NEARFIELD_LOWPASS,150,2,RADIUS_ONLY,20240508_las_vegas,N888KG,2024-05-08,Las Vegas,NV,CHARLIE_ONLY,yes,not_documented,KLAS,2024-05-07,-1,KSGU,St George Regional Airport,111.9,5875,,2024-05-07T16:11:25.890000Z,,adsb-lol,3
KIRK,NEARFIELD_LOWPASS,150,2,RADIUS_ONLY,20240516_san_diego,N102DZ,2024-05-16,San Diego,CA,CHARLIE_ONLY,yes,not_documented,KSAN,2024-05-16,0,KSMO,Santa Monica Municipal Airport,112.4,3125,,2024-05-16T23:21:19.520000Z,,adsb-lol,8
KIRK,NEARFIELD_LOWPASS,150,2,RADIUS_ONLY,20240919_university_park,N102DZ,2024-09-19,University Park,PA,CHARLIE_ONLY,yes,not_documented,KUNV,2024-09-18,-1,67NJ,Mount Pleasant Landing Strip,145.5,5925,,2024-09-18T01:18:40.800000Z,,adsb-lol,6
KIRK,NEARFIELD_LOWPASS,150,2,RADIUS_ONLY,20241022_omaha,N872RA,2024-10-22,Omaha,NE,CHARLIE_ONLY,yes,not_documented,KOMA,2024-10-23,1,0C1,Triple R Airport,139.7,3925,,2024-10-23T14:59:29.700000Z,,adsb-lol,12
KIRK,NEARFIELD_LOWPASS,150,5,RADIUS_AND_WINDOW,20250424_laramie,N582MM,2025-04-24,Laramie,WY,CHARLIE_ONLY,yes,not_documented,KLAR,2025-04-29,5,KBKF,Buckley Space Force Base,119.6,6000,,2025-04-29T21:45:57.580000Z,,adsb-lol,4
KIRK,NEARFIELD_LOWPASS,150,2,RADIUS_ONLY,20250501_san_diego,N102DZ,2025-05-01,San Diego,CA,CHARLIE_ONLY,yes,not_documented,KSAN,2025-04-30,-1,KBUR,Hollywood Burbank/Bob Hope Airport,119.0,2475,,2025-04-30T18:23:32.320000Z,,adsb-lol,6
KIRK,NEARFIELD_LOWPASS,150,5,RADIUS_AND_WINDOW,20250501_san_diego,N560TW,2025-05-01,San Diego,CA,CHARLIE_ONLY,yes,not_documented,KSAN,2025-05-05,4,KBUR,Hollywood Burbank/Bob Hope Airport,119.0,2200,,2025-05-05T18:16:30.430000Z,,adsb-lol,6
KIRK,NEARFIELD_LOWPASS,150,2,RADIUS_ONLY,20250506_san_francisco,N872RA,2025-05-06,San Francisco,CA,CHARLIE_ONLY,yes,not_documented,KSFO,2025-05-04,-2,KOAR,Marina Municipal Airport,100.5,3475,,2025-05-04T19:54:03.720000Z,,airplanes-live,4
KIRK,NEARFIELD_LOWPASS,150,3,RADIUS_AND_WINDOW,20251016_norman,N560TW,2025-10-16,Norman,OK,TPUSA_NO_KIRK,no_deceased,unknown,KOUN,2025-10-19,3,US-1103,Viskup Family Field,117.6,1825,,2025-10-19T17:58:54.740000Z,,airplanes-live,4
