docket_title	substack_file_url
Not Signed Order (Proposed) Temporary Order Allowing Appearance in Civilian Clothing and Without Restraints, 10-27-25 (Not obtained)	
Return of Electronic Notification (Not obtained), 10-27-25	
Motion to Extend Time, Stipulated, 10-27-25	https://andreaburkhart.substack.com/api/v1/file/876c0c5d-f807-4a0d-a071-9c7579547ba2.pdf
Request/Notice to Submit Stipulated Motion to Extend Time, 10-27-25 (Not obtained)	
Order (Proposed) Granting Stipulated Motion to Extend Time, 10-27-25 (Not obtained)	
Order Granting Stipulated Motion to Extend Time, 10-28-25	https://andreaburkhart.substack.com/api/v1/file/9fb6e672-5892-4eab-85f7-473fa0b7a5e2.pdf
Return of Electronic Notification, 10-28-25 (Not obtained)	
(Omitted from docket - no document # 148)	
Return of Electronic Notification, 10-29-25 (Not obtained)	
Request for Notice of Motions to Close Judicial Proceedings and Records, 10-30-25	https://andreaburkhart.substack.com/api/v1/file/faf82281-31c5-4536-9d70-f1fae049a220.pdf
Return of Electronic Notification, 10-30-25 (Not obtained)	
Stipulation Motion to Order Transcript and Classify Transcript and Audio as Private, 11-3-25	https://andreaburkhart.substack.com/api/v1/file/e37688ed-8cfc-4d9d-83e4-7f7d6b2b16b6.pdf
Request/Notice to Submit Request to Submit Stipulated Motion to Order Transcript and Classify, 11-3-25 (Not obtained)	
Order (Proposed) Granting Motion to Order Transcript and Classify, 11-3-25 (Not obtained)	
Return of Electronic Notification, 11-3-25 (Not obtained)	
Request/Notice to Submit Stipulated Motion Regarding Order to Preserve Evidence, 11-3-25 (Not obtained)	
Stipulated Motion Regarding Order to Preserve Evidence, 11-3-25	https://andreaburkhart.substack.com/api/v1/file/04d404f9-7f96-430a-86c9-09622fd3064d.pdf
Order (Proposed) Stipulated Order: (1) Setting Aside October 20, 2025 Order Granting Motion to Preserve Evidence; and (2) Granting in Part Motion to Preserve Evidence, 11-3-25 (Not obtained)	
(Omitted from docket - no item #160)	
Stipulated Order: (1) Setting aside October 20, 2025 Order Granting Motion to Preserve Evidence; and (2) Granting in Part Motion to Preserve Evidence, 11-4-25	https://andreaburkhart.substack.com/api/v1/file/e0f27b7f-71b3-47f1-8a3a-ab9914ea4c7d.pdf
Return of Electronic Notification, 11-4-25 (Not obtained)	
Return of Electronic Notification, 11-5-25 (Not obtained)	
Motion for Limited Intervention and Request for Notice of Motions to Close, Seal, or Reclassify, 11-5-25	https://andreaburkhart.substack.com/api/v1/file/6394bb41-c683-4649-938b-b71b7c1e135d.pdf
(Previously omitted) Request And Order For Electronic Media Coverage of Court Proceedings, 10-27-25 (Not obtained)	
State’s Motion to Amend or Clarify Court’s Pre-Trial and Trial Publicity Order (Dkt. #23), 11-6-25	https://andreaburkhart.substack.com/api/v1/file/8189bd29-a134-46e7-9985-659715c22cef.pdf
Return of Electronic Notification, 11-6-25 (Not obtained)	
Defendant Tyler James Robinson s Response to Request for Notice of Motion to Close Judicial Proceedings and Records, 11-10-25	https://andreaburkhart.substack.com/api/v1/file/8aa73f57-79a1-411d-8977-9323a17a0bed.pdf
Return of Electronic Notification, 11-10-25 (Not obtained)	
Order Requiring Parties to Serve All Closure of Reclassification Motions on the Media, 11-13-25	https://andreaburkhart.substack.com/api/v1/file/cd6d864c-ac14-4a06-ab6b-94571ba8f823.pdf
Order for Transcript of October 24, 2025 Hearing, 11-13-25	https://andreaburkhart.substack.com/api/v1/file/9e7215ff-98ec-4958-a5ce-a6e02fe690fd.pdf
Media’s Notice of Service re Motion to Classify Transcript and Audio Filed November 3, 2025, 11-13-25	https://andreaburkhart.substack.com/api/v1/file/6a7caa98-d97c-4db6-aaaf-ea91b4a8b2cb.pdf
Return of Electronic Notification, 11-13-25 (Not obtained)	
(Omitted from docket - no item #175)	
Return of Electronic Notification, 11-14-25 (Not obtained)	
