docket_no	title	file_id	embed_label	size	url
102	Motion to Classify as Private the Response to Defendant’s Motion to Appear in Civilian Clothing, 10-20-25	c81f5dca-05c1-4b9e-85c7-e49db8d41a98	10 20 25 Motion To Make Response To Shackling Motion Private	102KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/c81f5dca-05c1-4b9e-85c7-e49db8d41a98.pdf
105	Order Granting Motion to Classify as Private the Response to Defendant’s Motion to Appear in Civilian Clothing, 10-20-25	cc24cde3-5dea-4fdb-8b05-9aedfaff8c11	10 20 25 Order Granting Motion To Make Response To Shackling Motion Private	737KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/cc24cde3-5dea-4fdb-8b05-9aedfaff8c11.pdf
107	Order Granting Motion to Preserve Evidence, 10-20-25	c3b2f538-6a28-433f-b747-04c504a32023	10 20 25 Order Granting Motion To Preserve Evidence	746KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/c3b2f538-6a28-433f-b747-04c504a32023.pdf
111	Motion to Strike Response to Defendant’s Motion to Appear at All In-Person Proceedings in Civilian Clothing and Without Restraints, 10-21-25	e7480933-c3c2-4c50-86a7-8a02c7133da4	10 21 25 Motion To Strike Response To Motion For Unshackling	480KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/e7480933-c3c2-4c50-86a7-8a02c7133da4.pdf
113	Order to Transport, 10-21-25	2874439f-8452-4e7f-b066-a1e5291a1171	10 21 25 Order To Transport	131KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/2874439f-8452-4e7f-b066-a1e5291a1171.pdf
115	Defendant’s Opposition to the State of Utah’s Motion under Utah Rule of Criminal Procedure 17.5, 10-22-25	158b5980-30ba-47ab-8f2c-89b3503a082a	10 22 25 Opposition To State's Motion Under Crim Rule 17	241KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/158b5980-30ba-47ab-8f2c-89b3503a082a.pdf
116	Motion to Set Aside October 20, 2025 Order Granting Motion to Preserve Evidence, 10-22-25	d1c40a31-b5a5-407f-87ac-1688f8275f76	10 22 25 Motion To Set Aside October 20 Order Granting Motion To Preserve Evidence	176KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/d1c40a31-b5a5-407f-87ac-1688f8275f76.pdf
117	Response to Defendant’s Motion to Preserve Evidence, 10-22-25	dd217f7b-963f-4bce-b506-39915bbabe45	10 22 25 Response To Def Motion To Preserve Evidence	183KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/dd217f7b-963f-4bce-b506-39915bbabe45.pdf
118	Opposition to Motion to Strike Response to Defendant’s Motion to Appear at All In-Person Proceedings in Civilian Clothing and Without Restraints, 10-22-25	4906e387-cf8b-49c1-8a8b-58276bc27942	10 22 25 Opposition To Motion To Strike	190KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/4906e387-cf8b-49c1-8a8b-58276bc27942.pdf
121	Reply in Support of Motion re Restraints and Civilian Clothing, 10-22-25	d2b26b8a-79e9-4962-add7-363a6c9913af	10 22 25 Reply In Support Of Motion Re Restraints	394KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/d2b26b8a-79e9-4962-add7-363a6c9913af.pdf
129	Reply in Support of Motion to Strike Response to Defendant’s Motion to Appear at all In-Person Proceedings in Civilian Clothing and Without Restraints, 10-23-25	c51f289e-1e2c-49cf-a520-016e74ad07aa	10 23 25 Reply In Support Of Motion To Strike Response To Defendant's Motion	391KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/c51f289e-1e2c-49cf-a520-016e74ad07aa.pdf
131	Request and Order for Electronic Media Coverage of Court Proceedings, 10-23-25	341731a2-07d4-4733-8fb0-ee6cd228ea68	10 23 25 Request And Order For Electronic Media Coverage	123KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/341731a2-07d4-4733-8fb0-ee6cd228ea68.pdf
133	Updated Request and Order for Electronic Media Coverage of Court Proceedings	3f61785d-901e-4ee5-abbe-ab833657644b	10 24 25 Updated Request And Order For Electronic Media Coverage Of Court Proceedings	123KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/3f61785d-901e-4ee5-abbe-ab833657644b.pdf
135	State’s Notice of Open File Policy and Invitation to Inspect Physical Evidence, 10-27-25	c3071a53-c395-40d4-8907-9c36a754ab5f	10 27 25 Notice Of State's Open File Policy	171KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/c3071a53-c395-40d4-8907-9c36a754ab5f.pdf
