docket_seq	document_name_and_date	embed_title	size	pdf_url
280	Return of Electronic Notification, 1-8-26 (Not obtained)			
281	(Previously filed as private) Defendant Motion Filed Jan 9, 2026 wExhibits, 1-9-26	26	1.31MB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/32f5d075-32a0-49c7-b5a8-aff3a440e6b9.pdf
282	***PRIVATE*** Motion to Classify as Private Defendant’s Motion Filed Jan 9 2026 wExhibits, 1-9-26 (Not obtained)			
283	***PRIVATE***Request/Notice to Submit Motion to Classify Jan 9 2026 Motion, 1-9-26 (Not obtained)			
284	***PRIVATE*** Order (Proposed) on Motion to Classify as Private Jan 9 2026, 1-9-26 (Not obtained)			
285	Return of Electronic Notification, 1-9-26 (Not obtained)			
286	Opposition to Defendant’s Motion to Disqualify the Utah County Attorney’s Office, 1-10-26	1 10 26 Opp To Motion To Disqualify Utah Co Attorney	4.29MB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/68d7b85b-b45e-4374-9d51-fb7fa5cbc9c1.pdf
287	Return of Electronic Notification, 1-10-26 (Not obtained)			
288	Subpoena for Sgt. David Hull, 1-12-26	1 12 26 Subpoena For Sgt	174KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/d87741ae-8f5c-458a-b9ed-3582d6796ff4.pdf
289	Return of Electronic Notification, 1-12-26 (Not obtained)			
290	Partial Reply to Opposition to Motion to Disqualify (Public), 1-12-26	1 12 26 Reply To Motion To Disqualify	167KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/fcbf1865-ca6a-4aaa-af0f-eca11cedcb16.pdf
291	Return of Electronic Notification, 1-12-26 (Not obtained)			
292	Order on Motion to Classify as Private Jan 9 2026, 1-12-26 (Not obtained)			
293	Return of Electronic Notification, 1-12-26 (Not obtained)			
294	Proposed Order Granting Leave to File Overlength Memo (Opp to Mot to Disq), 1-13-26 (Not obtained)			
295	Return of Electronic Notification, 1-13-26 (Not obtained)			
296	Order to Transport (Hearing 1/16/26), 1-13-26 (Not obtained)			
297	Return of Electronic Notification, 1-14-26 (Not obtained)			
298	(Previously omitted) Order To Transport, 10-21-25 (Not obtained)			
299	News Media’s Memorandum Opposing Motion to Classify Defendant’s Motion filed January 9, 2026, 1-15-26	1 15 26 News Media's Memo Opposing Motion To Classify 1 9 26 Motion	170KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/76684818-d964-4ff5-97da-aa2eb0b9f6bf.pdf
300	Return of Electronic Notification, 1-15-26 (Not obtained)			
301	Return of Electronic Notification, 1-16-26 (Not obtained)			
302	**** PRIVATE **** Non-Public Information Motion to Exclude Cameras, 1-16-26 (Not obtained)			
303	Return of Electronic Notification, 1-16-26 (Not obtained)			
304	Motion for Overlength (Motion to Exclude), 1-16-26 (Not obtained)			
305	Request/Notice to Submit Request to Submit Motion for Overlength, 1-16-26 (Not obtained)			
306	(Proposed) Order on Motion for Overlength, 1-16-26 (Not obtained)			
307	Motion to Classify (Motion to Exclude), 1-16-26	1 16 26 Motion To Classify	157KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/28293317-8c84-4aac-aa7c-664037308841.pdf
308	Request/Notice to Submit Motion to Classify (Motion to Exclude), 1-16-26 (Not obtained)			
309	(Proposed) Order on Motion to Classify (Motion to Exclude, 1-16-26 (Not obtained)			
310	Return of Electronic Notification, 1-16-26 (Not obtained)			
311	Return of Electronic Notification, 1-16-26 (Not obtained)			
312	(Corrected) Motion for Overlength (Motion to Exclude), 1-16-26 (Not obtained)			
313	Return of Electronic Notification, 1-16-26 (Not obtained)			
314	Victim Representative’s Invocation of the Speedy Trial Act, 1-16-26	1 16 25 Victim Rep Invocation Of Speedy Trial	104KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/4bc4e246-f20c-4b75-be20-874a7022aa0b.pdf
315	Return of Electronic Notification, 1-16-26 (Not obtained)			
316	Request and Order for Electronic Media Coverage of Court Proceedings, 1-22-26	1 22 26 Request And Order For Electronic Media Coverage Still	122KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/b374e5a6-c74c-47a0-8197-e7df8e199e38.pdf
317	Reply in Support of Motion to Classify as Private - Jan 9, 1-22-26	1 23 26 Reply In Support Of Motion To Classify	197KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/10dc3c82-9476-44ed-8763-abbca2a4c535.pdf
318	Return of Electronic Notification, 1-22-26 (Not obtained)			
319	Return of Electronic Notification, 1-23-26 (Not obtained)			
320	News Media’s Memorandum Opposing Motion to Classify re: Motion to Exclude Cameras (Filed January 16, 2026), 1-23-26	1 23 26 News Media's Memo Opposing Motion To Classify Motion To Exclude Cameras	191KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/ab312dd5-200e-44b5-8004-7c12d11b7f2e.pdf
321	Return of Electronic Notification, 1-23-26 (Not obtained)			
322	New Media’s Motion to Amend Standing Order for Rule 4-202.04 Notice of Motions for Classification, 1-23-26	1 23 26 News Media's Moton To Amend Standing Order Re 4 202	244KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/88c338f3-3016-482b-9f6a-0ac76fe934b3.pdf
323	(Proposed) Order Amending Standing Order for Rule 4-202.01 Notice of Motions for Classification, 1-23-26 (Not obtained)			
324	Return of Electronic Notification, 1-23-26 (Not obtained)			
325	Order on Motion for Overlength, 1-26-26 (Not obtained)			
326	Return of Electronic Notification, 1-26-26 (Not obtained)			
327	Defendant Tyler James Robinson’s Notice of Objection to the State of Utah’s Proposed Exhibit 4.1; Memorandum of Points and Authorities, 1-27-26	1 27 26 Defendant's Objection To State's Exhibit 4	178KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/a6064f13-11e1-40d9-8a74-e875c2acc955.pdf
328	Return of Electronic Notification, 1-27-26 (Not obtained)			
329	TRANSADMIN TRANSCRIPT for Hearing 1-16-26, 1-28-26 (Not obtained)			
330	Request and Order for Electronic Media Coverage and Court Proceedings, 1-28-26	1 28 26 Request And Order For Electronic Media Coverage	126KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/3774401d-b31c-492c-8764-d4a4146a52a2.pdf
331	Return of Electronic Notification, 1-29-26 (Not obtained)			
332	News Media’s Motion for Attorneys Eyes Only Access to Closure Motions, 1-29-26	1 29 26 Media's Motion For Attorneys Eyes Only Access	192KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/62941687-b4aa-4fba-8367-86286211a32b.pdf
333	News Media’s Motion for Leave to File Sur-Reply Opposing Motion to Classify Defendant’s Motion filed January 9, 2026, 1-29-26 (Not obtained)			
334	News Media’s Sur-Reply Opposing Motion to Classify Defendant’s Motion Filed January 9, 2026, 1-29-26	1 29 26 Media's Sur Reply Re Classify January 9 Motion Private	209KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/d390922b-2497-4f5c-b91c-7207854e2996.pdf
335	Request/Notice to Submit (Amended) re Defendant’s Motion to Classify Defendant’s Motion filed January 9, 2026 (Not obtained)			
336	Return of Electronic Notification, 1-29-26 (Not obtained)			
337	State’s Opposition to Motion to Classify Defendant’s Motion Filed January 9, 2026 as Private, 1-29-26	1 29 26 State's Opposition To Classify January 9 2026 Motion As Private	164KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/ae1e9158-e763-4b70-86c1-fa1c342cca6b.pdf
338	Return of Electronic Notification, 1-29-26 (Not obtained)			
