filename,bytes,docket_label,source_url
2025-10-08_dkt_Copy_of_Video_Audio_Record_completed.pdf,120077,"Copy of Video/Audio Record (completed), 10-8-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/6903bbde-de6a-4e8c-b9c6-ab7375432e44.pdf
2025-10-08_dkt_Motion_to_Preserve_Evidence.pdf,128484,"Motion to Preserve Evidence, 10-8-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/213c1939-16c4-428a-90bb-3121cfe74dec.pdf
2025-10-09_dkt_Motion_Hearing_Requested_to_Appear_at_All_In_Person_Proceedings_in_Civilian_Clothing_and_W.pdf,521409,"Motion (Hearing Requested) to Appear at All In-Person Proceedings in Civilian Clothing and Without Restraints and Memorandum in Support, 10-9-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/9bb9127e-4fe5-4c5a-bcdc-13d075d83a90.pdf
2025-10-09_dkt_Motion_Permission_to_File_Overlength_Motion_to_Appear_in_Civilian_Clothes_and_Without_Rest.pdf,162710,"Motion Permission to File Overlength Motion to Appear in Civilian Clothes and Without Restraints, 10-9-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/8edc4b88-8a8f-4db1-97eb-89f3d689e142.pdf
2025-10-09_dkt_Order_Proposed_Temporary_Order_Allowing_Appearance_in_Civilian_Clothing_and_Without_Restra.pdf,141473,"Order (Proposed) Temporary Order Allowing Appearance in Civilian Clothing and Without Restraints, 10-9-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/79fb3af6-01b3-45ff-ab0c-05f5aa152298.pdf
2025-10-09_dkt_Request_Notice_to_Submit_Motion_for_Permission_to_File_Overlength_Motion_to_Appear_in_Civi.pdf,142511,"Request/Notice to Submit Motion for Permission to File Overlength Motion to Appear in Civilian Clothes and Without Restraints, 10-9-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/4bd7410f-fb0c-4448-91b5-562d58ea5007.pdf
2025-10-13_dkt_Appearance_of_Counsel_Notice_of_Limited_Appearance.pdf,132804,"Appearance of Counsel/Notice of Limited Appearance, 10-13-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/cae71612-738b-421d-a495-a0dd0116a7a9.pdf
2025-10-13_dkt_Motion_for_Discovery_Protective_Order_Stipulated.pdf,182677,"Motion for Discovery Protective Order (Stipulated), 10-13-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/081e0917-8dc6-48c6-be6c-90899a3d8f40.pdf
2025-10-14_dkt_Appearance_of_Counsel_Notice_of_Limited_Appearance_Richard_Novak.pdf,101589,"Appearance of Counsel/Notice of Limited Appearance (Richard Novak), 10-14-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/8cfb324b-40ef-40d2-820d-ac2837cce2b8.pdf
2025-10-14_dkt_Interim_Order_Defendant_s_Motion_to_Appear_in_Civilian_Clothing_and_Without_Restraints_div.pdf,364821,"Interim Order Defendant’s Motion to Appear in Civilian Clothing and Without Restraints, 10-14-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/53635f32-26c1-4f19-9428-3a99bd25ab85.pdf
2025-10-15_dkt_Discovery_Protective_Order.pdf,808643,"Discovery Protective Order, 10-15-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/01038937-9c9a-48ff-bfca-45b11e9e5b2e.pdf
2025-10-20_dkt_Motion_to_Classify_as_Private_the_Response_to_Defendant_s_Motion_to_Appear_in_Civilian_Clo.pdf,104795,"Motion to Classify as Private the Response to Defendant’s Motion to Appear in Civilian Clothing, 10-20-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/c81f5dca-05c1-4b9e-85c7-e49db8d41a98.pdf
2025-10-20_dkt_Order_Granting_Motion_to_Classify_as_Private_the_Response_to_Defendant_s_Motion_to_Appear_.pdf,754374,"Order Granting Motion to Classify as Private the Response to Defendant’s Motion to Appear in Civilian Clothing, 10-20-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/cc24cde3-5dea-4fdb-8b05-9aedfaff8c11.pdf
2025-10-20_dkt_Order_Granting_Motion_to_Preserve_Evidence.pdf,763408,"Order Granting Motion to Preserve Evidence, 10-20-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/c3b2f538-6a28-433f-b747-04c504a32023.pdf
2025-10-21_dkt_Motion_to_Strike_Response_to_Defendant_s_Motion_to_Appear_at_All_In_Person_Proceedings_in_.pdf,491744,"Motion to Strike Response to Defendant’s Motion to Appear at All In-Person Proceedings in Civilian Clothing and Without Restraints, 10-21-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/e7480933-c3c2-4c50-86a7-8a02c7133da4.pdf
2025-10-21_dkt_Order_to_Transport.pdf,134170,"Order to Transport, 10-21-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/2874439f-8452-4e7f-b066-a1e5291a1171.pdf
2025-10-22_dkt_Defendant_s_Opposition_to_the_State_of_Utah_s_Motion_under_Utah_Rule_of_Criminal_Procedure.pdf,246444,"Defendant’s Opposition to the State of Utah’s Motion under Utah Rule of Criminal Procedure 17.5, 10-22-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/158b5980-30ba-47ab-8f2c-89b3503a082a.pdf
2025-10-22_dkt_Motion_to_Set_Aside_October_20_2025_Order_Granting_Motion_to_Preserve_Evidence.pdf,179766,"Motion to Set Aside October 20, 2025 Order Granting Motion to Preserve Evidence, 10-22-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/d1c40a31-b5a5-407f-87ac-1688f8275f76.pdf
2025-10-22_dkt_Opposition_to_Motion_to_Strike_Response_to_Defendant_s_Motion_to_Appear_at_All_In_Person_P.pdf,194308,"Opposition to Motion to Strike Response to Defendant’s Motion to Appear at All In-Person Proceedings in Civilian Clothing and Without Restraints, 10-22-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/4906e387-cf8b-49c1-8a8b-58276bc27942.pdf
2025-10-22_dkt_Reply_in_Support_of_Motion_re_Restraints_and_Civilian_Clothing.pdf,402999,"Reply in Support of Motion re Restraints and Civilian Clothing, 10-22-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/d2b26b8a-79e9-4962-add7-363a6c9913af.pdf
2025-10-22_dkt_Response_to_Defendant_s_Motion_to_Preserve_Evidence.pdf,187822,"Response to Defendant’s Motion to Preserve Evidence, 10-22-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/dd217f7b-963f-4bce-b506-39915bbabe45.pdf
2025-10-23_dkt_Reply_in_Support_of_Motion_to_Strike_Response_to_Defendant_s_Motion_to_Appear_at_all_In_Pe.pdf,400229,"Reply in Support of Motion to Strike Response to Defendant’s Motion to Appear at all In-Person Proceedings in Civilian Clothing and Without Restraints, 10-23-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/c51f289e-1e2c-49cf-a520-016e74ad07aa.pdf
2025-10-23_dkt_Request_and_Order_for_Electronic_Media_Coverage_of_Court_Proceedings.pdf,125680,"Request and Order for Electronic Media Coverage of Court Proceedings, 10-23-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/341731a2-07d4-4733-8fb0-ee6cd228ea68.pdf
2025-10-24_dkt_Updated_Request_and_Order_for_Electronic_Media_Coverage_of_Court_Proceedings.pdf,125680,"Updated Request and Order for Electronic Media Coverage of Court Proceedings<div class=""",https://andreaburkhart.substack.com/api/v1/file/3f61785d-901e-4ee5-abbe-ab833657644b.pdf
2025-10-27_dkt_Motion_to_Extend_Time_Stipulated.pdf,160002,"Motion to Extend Time, Stipulated, 10-27-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/876c0c5d-f807-4a0d-a071-9c7579547ba2.pdf
2025-10-27_dkt_State_s_Notice_of_Open_File_Policy_and_Invitation_to_Inspect_Physical_Evidence.pdf,174959,"State’s Notice of Open File Policy and Invitation to Inspect Physical Evidence, 10-27-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/c3071a53-c395-40d4-8907-9c36a754ab5f.pdf
2025-10-28_dkt_Order_Granting_Stipulated_Motion_to_Extend_Time.pdf,763515,"Order Granting Stipulated Motion to Extend Time, 10-28-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/9fb6e672-5892-4eab-85f7-473fa0b7a5e2.pdf
2025-10-30_dkt_Request_for_Notice_of_Motions_to_Close_Judicial_Proceedings_and_Records.pdf,144379,"Request for Notice of Motions to Close Judicial Proceedings and Records, 10-30-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/faf82281-31c5-4536-9d70-f1fae049a220.pdf
2025-10-30_dkt_Standing_Decorum_Order_Effective.pdf,3087935,"Standing Decorum Order, Effective 10-30-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/305e9135-e121-4111-9eb6-cd3154fd1ab8.pdf
2025-11-03_dkt_Stipulated_Motion_Regarding_Order_to_Preserve_Evidence.pdf,187072,"Stipulated Motion Regarding Order to Preserve Evidence, 11-3-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/04d404f9-7f96-430a-86c9-09622fd3064d.pdf
2025-11-03_dkt_Stipulation_Motion_to_Order_Transcript_and_Classify_Transcript_and_Audio_as_Private_div_cl.pdf,145559,"Stipulation Motion to Order Transcript and Classify Transcript and Audio as Private, 11-3-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/e37688ed-8cfc-4d9d-83e4-7f7d6b2b16b6.pdf
2025-11-04_dkt_Stipulated_Order_1_Setting_aside_October_20_2025_Order_Granting_Motion_to_Preserve_Evidenc.pdf,760548,"Stipulated Order: (1) Setting aside October 20, 2025 Order Granting Motion to Preserve Evidence; and (2) Granting in Part Motion to Preserve Evidence, 11-4-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/e0f27b7f-71b3-47f1-8a3a-ab9914ea4c7d.pdf
2025-11-05_dkt_Motion_for_Limited_Intervention_and_Request_for_Notice_of_Motions_to_Close_Seal_or_Reclass.pdf,268326,"Motion for Limited Intervention and Request for Notice of Motions to Close, Seal, or Reclassify, 11-5-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/6394bb41-c683-4649-938b-b71b7c1e135d.pdf
2025-11-06_dkt_State_s_Motion_to_Amend_or_Clarify_Court_s_Pre_Trial_and_Trial_Publicity_Order_Dkt_23_div_.pdf,214446,"State’s Motion to Amend or Clarify Court’s Pre-Trial and Trial Publicity Order (Dkt. #23), 11-6-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/8189bd29-a134-46e7-9985-659715c22cef.pdf
2025-11-10_dkt_Defendant_Tyler_James_Robinson_s_Response_to_Request_for_Notice_of_Motion_to_Close_Judicia.pdf,196997,"Defendant Tyler James Robinson s Response to Request for Notice of Motion to Close Judicial Proceedings and Records, 11-10-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/8aa73f57-79a1-411d-8977-9323a17a0bed.pdf
