tail,utc_date,arrive_utc_date,gap_days,origin,origin_name,origin_km_from_field,depart_after_utc,dest,dest_name,dest_km_from_field,arrive_by_utc,archives,ledger_verdict,arrive_day_verdict,unobserved_days_inside_leg,recovered_from_backup_only,crosses_utc_midnight,confidence,near_sourced_event
N872RA,2022-12-01,2022-12-01,0,KSDL,Scottsdale Airport,1.13,2022-12-01T19:59:06.790000Z,KLAS,Harry Reid International Airport,1.54,2022-12-01T22:23:31.930000Z,adsbexchange-samples,HELD_BY_ADSBEXCHANGE-SAMPLES,HELD_BY_ADSBEXCHANGE-SAMPLES,0,yes,no,direct,
N872RA,2022-12-01,2023-02-06,67,KLAS,Harry Reid International Airport,1.54,2022-12-01T23:27:31.630000Z,KLAX,Los Angeles International Airport,1.48,2023-02-06T00:22:14.110000Z,adsbexchange-samples|airplanes-live,HELD_BY_ADSBEXCHANGE-SAMPLES,ONLY_ON_AIRPLANES_LIVE,66,yes,yes,GAP -- aircraft unobserved for 66 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
N40JD,2023-02-01,2023-02-01,0,KNEW,Lakefront Airport,0.16,2023-02-01T14:51:20.900000Z,KLBB,Lubbock Preston Smith International Airport,1.29,2023-02-01T17:39:27.110000Z,adsbexchange-samples,HELD_BY_ADSBEXCHANGE-SAMPLES,HELD_BY_ADSBEXCHANGE-SAMPLES,0,yes,no,direct,
N40JD,2023-02-01,2023-02-01,0,KLBB,Lubbock Preston Smith International Airport,1.29,2023-02-01T17:39:28.630000Z,KHND,Henderson Executive Airport,0.34,2023-02-01T19:43:39.070000Z,adsbexchange-samples,HELD_BY_ADSBEXCHANGE-SAMPLES,HELD_BY_ADSBEXCHANGE-SAMPLES,0,yes,no,direct,
N40JD,2023-02-01,2023-04-21,79,KHND,Henderson Executive Airport,0.34,2023-02-01T19:47:01.040000Z,KFLL,Fort Lauderdale Hollywood International Airport,0.17,2023-04-21T15:06:32.080000Z,adsb-lol|adsbexchange-samples|airplanes-live,HELD_BY_ADSBEXCHANGE-SAMPLES,BOTH_HAVE_IT,78,yes,yes,GAP -- aircraft unobserved for 78 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
N872RA,2023-02-06,2023-02-06,0,KLAX,Los Angeles International Airport,1.48,2023-02-06T00:22:16.270000Z,KSNA,John Wayne Orange County International Airport,0.13,2023-02-06T01:18:55.490000Z,airplanes-live,ONLY_ON_AIRPLANES_LIVE,ONLY_ON_AIRPLANES_LIVE,0,yes,no,direct,
N872RA,2023-02-08,2023-02-09,1,KSNA,John Wayne Orange County International Airport,0.76,2023-02-08T23:15:13.990000Z,KLGB,Long Beach International Airport,0.4,2023-02-09T00:33:51.430000Z,airplanes-live,ONLY_ON_AIRPLANES_LIVE,ONLY_ON_AIRPLANES_LIVE,0,yes,yes,overnight,
N872RA,2023-02-09,2023-02-09,0,KLGB,Long Beach International Airport,0.4,2023-02-09T00:41:08.800000Z,KSAC,Sacramento Executive Airport,0.58,2023-02-09T01:41:05.430000Z,airplanes-live,ONLY_ON_AIRPLANES_LIVE,ONLY_ON_AIRPLANES_LIVE,0,yes,no,direct,
N872RA,2023-02-09,2023-02-09,0,KSAC,Sacramento Executive Airport,0.43,2023-02-09T03:20:14.090000Z,KSFO,San Francisco International Airport,0.78,2023-02-09T05:38:05.650000Z,airplanes-live,ONLY_ON_AIRPLANES_LIVE,ONLY_ON_AIRPLANES_LIVE,0,yes,no,direct,
N872RA,2023-02-09,2023-02-09,0,KSFO,San Francisco International Airport,0.78,2023-02-09T05:42:12.630000Z,KSNA,John Wayne Orange County International Airport,0.19,2023-02-09T06:42:51.220000Z,airplanes-live,ONLY_ON_AIRPLANES_LIVE,ONLY_ON_AIRPLANES_LIVE,0,yes,no,direct,
