sweep_date,tail,source,circle_key,circle_kind,city,state,event_date,offset_days,who,points_in_circle,on_ground_in_circle,min_dist_mi,ground_lat,ground_lon,passed_geo_sweep_prefilter,trace_file
2025-09-10,SU-BTT,airplanes-live,20250910_orem,event,Orem,UT,2025-09-10,0,Charlie,305,True,4.92,40.230328,-111.728273,True,SU-BTT/data/recovered/SU-BTT_2025-09-10_airplanes-live_trace_full.json
2025-09-10,SU-BTT,adsb-lol,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,27,False,22.53,,,True,SU-BTT/data/recovered/SU-BTT_2025-09-10_adsb-lol_trace_full.json
2025-09-10,SU-BTT,airplanes-live,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,55,False,22.53,,,True,SU-BTT/data/recovered/SU-BTT_2025-09-10_airplanes-live_trace_full.json
2025-09-11,N102DZ,adsb-lol,20250910_orem,event,Orem,UT,2025-09-10,1,Charlie,498,True,4.05,40.21867,-111.722214,True,N102DZ/data/recovered/N102DZ_2025-09-11_adsb-lol_trace_full.json
2025-09-11,N102DZ,airplanes-live,20250910_orem,event,Orem,UT,2025-09-10,1,Charlie,481,True,4.05,40.21867,-111.722214,True,N102DZ/data/recovered/N102DZ_2025-09-11_airplanes-live_trace_full.json
2025-09-11,N582MM,adsb-lol,20250910_orem,event,Orem,UT,2025-09-10,1,Charlie,694,True,4.0,40.219059,-111.722565,True,N582MM/data/recovered/N582MM_2025-09-11_adsb-lol_trace_full.json
2025-09-11,N582MM,airplanes-live,20250910_orem,event,Orem,UT,2025-09-10,1,Charlie,701,True,4.0,40.219059,-111.722565,True,N582MM/data/recovered/N582MM_2025-09-11_airplanes-live_trace_full.json
2025-09-11,N872RA,adsb-lol,20250910_orem,event,Orem,UT,2025-09-10,1,Charlie,114,True,35.3,40.797124,-111.960031,True,N872RA/data/recovered/N872RA_2025-09-11_adsb-lol_trace_full.json
2025-09-11,N872RA,airplanes-live,20250910_orem,event,Orem,UT,2025-09-10,1,Charlie,110,True,35.3,40.797124,-111.960031,True,N872RA/data/recovered/N872RA_2025-09-11_airplanes-live_trace_full.json
2025-09-12,N582MM,adsb-lol,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,34,False,1.09,,,True,N582MM/data/recovered/N582MM_2025-09-12_adsb-lol_trace_full.json
2025-09-12,N582MM,airplanes-live,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,68,False,0.42,,,True,N582MM/data/recovered/N582MM_2025-09-12_airplanes-live_trace_full.json
2025-09-18,N582MM,adsb-lol,20250918_fort_collins,event,Fort Collins,CO,2025-09-18,0,Charlie,5,False,45.63,,,True,N582MM/data/recovered/N582MM_2025-09-18_adsb-lol_trace_full.json.gz
2025-09-18,N582MM,airplanes-live,20250918_fort_collins,event,Fort Collins,CO,2025-09-18,0,Charlie,6,False,45.44,,,True,N582MM/data/recovered/N582MM_2025-09-18_airplanes-live_trace_full.json.gz
2025-09-19,N102DZ,adsb-lol,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,11,False,47.92,,,True,N102DZ/data/recovered/N102DZ_2025-09-19_adsb-lol_trace_full.json.gz
