tail,date,group,classification,adsb_lol_http,tails_asked_of_adsb_lol_that_day,tails_adsb_lol_served_that_day,al_trace_points,region,median_lat,median_lon,adsb_lol_github_release,aircraft_in_that_release,al_file,adsb_lol_url,retrieved_utc
SU-BTV,2025-11-04,EGYPT_SU,RETENTION_SERVING_BOUNDARY,403,6,0,1,MIDEAST_EGYPT,30.063,31.359,NOT_SWEPT,,SU-BTV/data/recovered/SU-BTV_2025-11-04_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/11/04/traces/d1/trace_full_0101d1.json,2026-08-26T18:16:21Z
T7-ELL,2023-12-12,T7_ELL,ARCHIVE_COVERAGE_GAP_WHOLE_DAY,404,6,0,371,OTHER,-2.102,55.709,NOT_SWEPT,,T7-ELL/data/recovered/T7-ELL_2023-12-12_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/12/12/traces/8a/trace_full_50018a.json,2026-08-26T19:22:21Z
T7-ELL,2024-03-22,T7_ELL,ONE_ARCHIVE_ONLY,404,14,3,1229,EUROPE,51.897,17.175,SWEPT,19803,T7-ELL/data/recovered/T7-ELL_2024-03-22_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2024/03/22/traces/8a/trace_full_50018a.json,2026-08-24T20:39:34Z
T7-ELL,2024-04-08,T7_ELL,ONE_ARCHIVE_ONLY,404,12,3,771,OTHER,23.151,62.954,SWEPT,58825,T7-ELL/data/recovered/T7-ELL_2024-04-08_airplanes-live_trace_full.json,https://adsb.lol/globe_history/2024/04/08/traces/8a/trace_full_50018a.json,2026-08-24T20:39:59Z
T7-ELL,2024-06-11,T7_ELL,ONE_ARCHIVE_ONLY,404,12,4,452,AFRICA,9.495,32.748,NOT_SWEPT,,T7-ELL/data/recovered/T7-ELL_2024-06-11_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2024/06/11/traces/8a/trace_full_50018a.json,2026-08-24T20:40:52Z
T7-ELL,2025-07-10,T7_ELL,ONE_ARCHIVE_ONLY,404,12,2,10,EUROPE,37.923,23.938,SWEPT,75588,T7-ELL/data/recovered/T7-ELL_2025-07-10_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/07/10/traces/8a/trace_full_50018a.json,2026-08-24T20:45:27Z
T7-ELL,2025-07-17,T7_ELL,ARCHIVE_COVERAGE_GAP_WHOLE_DAY,404,6,0,253,AFRICA,1.981,32.203,NOT_SWEPT,,T7-ELL/data/recovered/T7-ELL_2025-07-17_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/07/17/traces/8a/trace_full_50018a.json,2026-08-26T19:27:18Z
T7-ELL,2025-09-23,T7_ELL,ONE_ARCHIVE_ONLY,404,12,4,244,OTHER,27.691,69.071,SWEPT,70110,T7-ELL/data/recovered/T7-ELL_2025-09-23_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/09/23/traces/8a/trace_full_50018a.json,2026-08-24T20:46:36Z
T7-ELL,2025-10-12,T7_ELL,RETENTION_SERVING_BOUNDARY,403,6,0,2344,EUROPE,47.121,13.723,NOT_SWEPT,,T7-ELL/data/recovered/T7-ELL_2025-10-12_airplanes-live_trace_full.json,https://adsb.lol/globe_history/2025/10/12/traces/8a/trace_full_50018a.json,2026-08-26T19:28:18Z
T7-ELL,2025-10-13,T7_ELL,RETENTION_SERVING_BOUNDARY,403,6,0,3069,EUROPE,42.737,13.719,NOT_SWEPT,,T7-ELL/data/recovered/T7-ELL_2025-10-13_airplanes-live_trace_full.json,https://adsb.lol/globe_history/2025/10/13/traces/8a/trace_full_50018a.json,2026-08-26T19:28:19Z
