tail,date,group,classification,adsb_lol_http,tails_asked_of_adsb_lol_that_day,tails_adsb_lol_served_that_day,al_trace_points,region,median_lat,median_lon,adsb_lol_github_release,aircraft_in_that_release,al_file,adsb_lol_url,retrieved_utc
CONTROL-LUFTHANSA,2023-02-07,CONTROL_AIRLINER,ADSB_LOL_ARCHIVE_ABSENT_THAT_DAY,404,14,0,2530,EUROPE,49.171,10.206,NO_RELEASE_FOR_THIS_DATE,0,CONTROL-LUFTHANSA/data/recovered/CONTROL-LUFTHANSA_2023-02-07_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/02/07/traces/44/trace_full_3c6444.json,2026-08-24T22:34:49Z
CONTROL-LUFTHANSA,2023-02-09,CONTROL_AIRLINER,ADSB_LOL_ARCHIVE_ABSENT_THAT_DAY,404,14,0,3513,EUROPE,50.781,10.783,NO_RELEASE_FOR_THIS_DATE,0,CONTROL-LUFTHANSA/data/recovered/CONTROL-LUFTHANSA_2023-02-09_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/02/09/traces/44/trace_full_3c6444.json,2026-08-26T18:10:59Z
CONTROL-LUFTHANSA,2023-02-10,CONTROL_AIRLINER,ARCHIVE_COVERAGE_GAP_WHOLE_DAY,404,14,0,3357,EUROPE,51.878,11.009,NOT_SWEPT,,CONTROL-LUFTHANSA/data/recovered/CONTROL-LUFTHANSA_2023-02-10_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/02/10/traces/44/trace_full_3c6444.json,2026-08-26T18:11:01Z
CONTROL-LUFTHANSA,2023-02-11,CONTROL_AIRLINER,ARCHIVE_COVERAGE_GAP_WHOLE_DAY,404,8,0,1453,EUROPE,48.102,11.809,NOT_SWEPT,,CONTROL-LUFTHANSA/data/recovered/CONTROL-LUFTHANSA_2023-02-11_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/02/11/traces/44/trace_full_3c6444.json,2026-08-26T18:11:03Z
CONTROL-LUFTHANSA,2024-03-22,CONTROL_AIRLINER,ONE_ARCHIVE_ONLY,404,14,3,354,EUROPE,46.671,11.199,SWEPT,19803,CONTROL-LUFTHANSA/data/recovered/CONTROL-LUFTHANSA_2024-03-22_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2024/03/22/traces/44/trace_full_3c6444.json,2026-08-26T18:14:25Z
CONTROL-LUFTHANSA,2025-10-14,CONTROL_AIRLINER,RETENTION_SERVING_BOUNDARY,403,14,0,4656,EUROPE,49.995,9.287,NOT_SWEPT,,CONTROL-LUFTHANSA/data/recovered/CONTROL-LUFTHANSA_2025-10-14_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/14/traces/44/trace_full_3c6444.json,2026-08-24T22:37:32Z
CONTROL-LUFTHANSA,2025-10-22,CONTROL_AIRLINER,RETENTION_SERVING_BOUNDARY,403,14,0,3982,EUROPE,50.204,11.107,SWEPT,73154,CONTROL-LUFTHANSA/data/recovered/CONTROL-LUFTHANSA_2025-10-22_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/22/traces/44/trace_full_3c6444.json,2026-08-24T22:37:34Z
CONTROL-LUFTHANSA,2025-10-31,CONTROL_AIRLINER,RETENTION_SERVING_BOUNDARY,403,14,0,6055,EUROPE,50.059,9.018,NOT_SWEPT,,CONTROL-LUFTHANSA/data/recovered/CONTROL-LUFTHANSA_2025-10-31_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/31/traces/44/trace_full_3c6444.json,2026-08-24T22:37:37Z
CONTROL-RYANAIR,2023-02-09,CONTROL_AIRLINER,ADSB_LOL_ARCHIVE_ABSENT_THAT_DAY,404,14,0,370,EUROPE,39.589,2.035,NO_RELEASE_FOR_THIS_DATE,0,CONTROL-RYANAIR/data/recovered/CONTROL-RYANAIR_2023-02-09_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/02/09/traces/b5/trace_full_4ca7b5.json,2026-08-26T18:01:30Z
CONTROL-RYANAIR,2023-02-10,CONTROL_AIRLINER,ARCHIVE_COVERAGE_GAP_WHOLE_DAY,404,14,0,1311,EUROPE,40.078,0.932,NOT_SWEPT,,CONTROL-RYANAIR/data/recovered/CONTROL-RYANAIR_2023-02-10_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/02/10/traces/b5/trace_full_4ca7b5.json,2026-08-26T18:01:32Z
CONTROL-RYANAIR,2023-02-11,CONTROL_AIRLINER,ARCHIVE_COVERAGE_GAP_WHOLE_DAY,404,8,0,49,EUROPE,38.626,-1.868,NOT_SWEPT,,CONTROL-RYANAIR/data/recovered/CONTROL-RYANAIR_2023-02-11_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/02/11/traces/b5/trace_full_4ca7b5.json,2026-08-26T18:01:34Z
CONTROL-RYANAIR,2023-03-31,CONTROL_AIRLINER,ONE_ARCHIVE_ONLY,404,14,2,2217,EUROPE,49.356,4.622,NOT_SWEPT,,CONTROL-RYANAIR/data/recovered/CONTROL-RYANAIR_2023-03-31_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/03/31/traces/b5/trace_full_4ca7b5.json,2026-08-26T18:02:05Z
CONTROL-RYANAIR,2025-06-19,CONTROL_AIRLINER,ONE_ARCHIVE_ONLY,404,8,1,1800,EUROPE,49.704,6.586,NOT_SWEPT,,CONTROL-RYANAIR/data/recovered/CONTROL-RYANAIR_2025-06-19_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/06/19/traces/b5/trace_full_4ca7b5.json,2026-08-26T18:08:59Z
N102DZ,2023-02-06,US_PRIVATE,ARCHIVE_COVERAGE_GAP_WHOLE_DAY,404,12,0,330,USA,30.7,-81.847,NOT_SWEPT,,N102DZ/data/recovered/N102DZ_2023-02-06_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/02/06/traces/85/trace_full_a00c85.json,2026-08-24T20:47:41Z
N102DZ,2023-02-08,US_PRIVATE,ADSB_LOL_ARCHIVE_ABSENT_THAT_DAY,404,12,0,335,USA,29.719,-81.54,NO_RELEASE_FOR_THIS_DATE,0,N102DZ/data/recovered/N102DZ_2023-02-08_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/02/08/traces/85/trace_full_a00c85.json,2026-08-24T20:47:44Z
N102DZ,2023-03-25,US_PRIVATE,ONE_ARCHIVE_ONLY,404,12,2,101,OTHER,35.989,139.013,NOT_SWEPT,,N102DZ/data/recovered/N102DZ_2023-03-25_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/03/25/traces/85/trace_full_a00c85.json,2026-08-24T20:48:30Z
N102DZ,2023-03-31,US_PRIVATE,ONE_ARCHIVE_ONLY,404,14,2,101,OTHER,34.957,138.412,NOT_SWEPT,,N102DZ/data/recovered/N102DZ_2023-03-31_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/03/31/traces/85/trace_full_a00c85.json,2026-08-24T20:48:38Z
N102DZ,2024-02-04,US_PRIVATE,ARCHIVE_COVERAGE_GAP_WHOLE_DAY,404,12,0,297,OTHER,-34.409,-59.254,SWEPT,45226,N102DZ/data/recovered/N102DZ_2024-02-04_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2024/02/04/traces/85/trace_full_a00c85.json,2026-08-24T20:52:42Z
N102DZ,2024-03-04,US_PRIVATE,ONE_ARCHIVE_ONLY,404,12,1,357,OTHER,-17.096,-149.581,NOT_SWEPT,,N102DZ/data/recovered/N102DZ_2024-03-04_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2024/03/04/traces/85/trace_full_a00c85.json,2026-08-24T20:52:47Z
N102DZ,2024-09-16,US_PRIVATE,ONE_ARCHIVE_ONLY,404,12,1,1310,USA,39.663,-99.078,NOT_SWEPT,,N102DZ/data/recovered/N102DZ_2024-09-16_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2024/09/16/traces/85/trace_full_a00c85.json,2026-08-24T20:55:38Z
N102DZ,2024-09-21,US_PRIVATE,ONE_ARCHIVE_ONLY,404,12,3,19,USA,34.207,-118.494,NOT_SWEPT,,N102DZ/data/recovered/N102DZ_2024-09-21_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2024/09/21/traces/85/trace_full_a00c85.json,2026-08-24T20:55:48Z
N102DZ,2024-10-23,US_PRIVATE,ONE_ARCHIVE_ONLY,404,12,4,131,USA,34.219,-118.494,SWEPT,67547,N102DZ/data/recovered/N102DZ_2024-10-23_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2024/10/23/traces/85/trace_full_a00c85.json,2026-08-24T20:56:32Z
N102DZ,2025-05-02,US_PRIVATE,ONE_ARCHIVE_ONLY,404,14,6,1,USA,40.84,-74.064,SWEPT,68931,N102DZ/data/recovered/N102DZ_2025-05-02_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/05/02/traces/85/trace_full_a00c85.json,2026-08-24T20:58:57Z
N102DZ,2025-10-15,US_PRIVATE,RETENTION_SERVING_BOUNDARY,403,12,0,1492,USA,38.934,-87.947,TRUNCATED,54488,N102DZ/data/recovered/N102DZ_2025-10-15_airplanes-live_trace_full.json,https://adsb.lol/globe_history/2025/10/15/traces/85/trace_full_a00c85.json,2026-08-24T21:01:00Z
N102DZ,2025-10-16,US_PRIVATE,RETENTION_SERVING_BOUNDARY,403,12,0,596,USA,34.703,-111.256,SWEPT,77386,N102DZ/data/recovered/N102DZ_2025-10-16_airplanes-live_trace_full.json,https://adsb.lol/globe_history/2025/10/16/traces/85/trace_full_a00c85.json,2026-08-24T21:01:01Z
N102DZ,2025-10-20,US_PRIVATE,RETENTION_SERVING_BOUNDARY,403,12,0,1804,USA,42.136,-91.893,SWEPT,65966,N102DZ/data/recovered/N102DZ_2025-10-20_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/20/traces/85/trace_full_a00c85.json,2026-08-24T21:01:09Z
N102DZ,2025-10-21,US_PRIVATE,RETENTION_SERVING_BOUNDARY,403,12,0,980,USA,42.13,-79.349,SWEPT,71421,N102DZ/data/recovered/N102DZ_2025-10-21_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/21/traces/85/trace_full_a00c85.json,2026-08-24T21:01:11Z
N102DZ,2025-10-22,US_PRIVATE,RETENTION_SERVING_BOUNDARY,403,14,0,3032,USA,41.957,-86.327,SWEPT,73154,N102DZ/data/recovered/N102DZ_2025-10-22_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/22/traces/85/trace_full_a00c85.json,2026-08-24T21:01:13Z
N102DZ,2025-10-29,US_PRIVATE,RETENTION_SERVING_BOUNDARY,403,12,0,1124,USA,33.132,-102.217,SWEPT,67108,N102DZ/data/recovered/N102DZ_2025-10-29_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/29/traces/85/trace_full_a00c85.json,2026-08-24T21:01:24Z
N102DZ,2025-10-30,US_PRIVATE,RETENTION_SERVING_BOUNDARY,403,12,0,1293,USA,35.025,-102.15,SWEPT,71447,N102DZ/data/recovered/N102DZ_2025-10-30_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/30/traces/85/trace_full_a00c85.json,2026-08-24T21:01:26Z
N40JD,2023-08-24,US_PRIVATE,ONE_ARCHIVE_ONLY,404,14,4,1,USA,30.395,-85.829,SWEPT,55348,N40JD/data/recovered/N40JD_2023-08-24_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/08/24/traces/14/trace_full_a4ab14.json,2026-08-24T22:17:56Z
N40JD,2025-10-15,US_PRIVATE,RETENTION_SERVING_BOUNDARY,403,12,0,425,USA,34.322,-112.784,TRUNCATED,54488,N40JD/data/recovered/N40JD_2025-10-15_airplanes-live_trace_full.json,https://adsb.lol/globe_history/2025/10/15/traces/14/trace_full_a4ab14.json,2026-08-24T22:28:14Z
N40JD,2025-10-16,US_PRIVATE,RETENTION_SERVING_BOUNDARY,403,12,0,502,USA,35.987,-120.837,SWEPT,77386,N40JD/data/recovered/N40JD_2025-10-16_airplanes-live_trace_full.json,https://adsb.lol/globe_history/2025/10/16/traces/14/trace_full_a4ab14.json,2026-08-24T22:28:15Z
N40JD,2025-10-17,US_PRIVATE,RETENTION_SERVING_BOUNDARY,403,12,0,1987,USA,36.024,-120.781,SWEPT,80766,N40JD/data/recovered/N40JD_2025-10-17_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/17/traces/14/trace_full_a4ab14.json,2026-08-24T22:28:17Z
N40JD,2025-10-18,US_PRIVATE,RETENTION_SERVING_BOUNDARY,403,12,0,902,USA,36.074,-115.387,NOT_SWEPT,,N40JD/data/recovered/N40JD_2025-10-18_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/18/traces/14/trace_full_a4ab14.json,2026-08-24T22:28:19Z
N40JD,2025-10-19,US_PRIVATE,RETENTION_SERVING_BOUNDARY,403,12,0,1986,USA,35.539,-116.886,NOT_SWEPT,,N40JD/data/recovered/N40JD_2025-10-19_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/19/traces/14/trace_full_a4ab14.json,2026-08-24T22:28:22Z
N40JD,2025-10-20,US_PRIVATE,RETENTION_SERVING_BOUNDARY,403,12,0,1517,USA,34.259,-111.333,SWEPT,65966,N40JD/data/recovered/N40JD_2025-10-20_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/20/traces/14/trace_full_a4ab14.json,2026-08-24T22:28:24Z
N40JD,2025-10-23,US_PRIVATE,RETENTION_SERVING_BOUNDARY,403,12,0,3296,USA,37.637,-111.913,NOT_SWEPT,,N40JD/data/recovered/N40JD_2025-10-23_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/23/traces/14/trace_full_a4ab14.json,2026-08-24T22:28:30Z
N40JD,2025-10-25,US_PRIVATE,RETENTION_SERVING_BOUNDARY,403,12,0,1383,USA,36.001,-110.47,NOT_SWEPT,,N40JD/data/recovered/N40JD_2025-10-25_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/25/traces/14/trace_full_a4ab14.json,2026-08-24T22:28:32Z
N40JD,2025-10-26,US_PRIVATE,RETENTION_SERVING_BOUNDARY,403,12,0,983,USA,34.6,-116.036,SWEPT,57963,N40JD/data/recovered/N40JD_2025-10-26_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/26/traces/14/trace_full_a4ab14.json,2026-08-24T22:28:34Z
N40JD,2025-10-27,US_PRIVATE,RETENTION_SERVING_BOUNDARY,403,12,0,2788,USA,33.684,-116.559,SWEPT,62074,N40JD/data/recovered/N40JD_2025-10-27_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/27/traces/14/trace_full_a4ab14.json,2026-08-24T22:28:36Z
N40JD,2025-10-29,US_PRIVATE,RETENTION_SERVING_BOUNDARY,403,12,0,1808,USA,34.187,-115.05,SWEPT,67108,N40JD/data/recovered/N40JD_2025-10-29_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/29/traces/14/trace_full_a4ab14.json,2026-08-24T22:28:40Z
N560TW,2023-03-09,US_PRIVATE,ADSB_LOL_ARCHIVE_ABSENT_THAT_DAY,404,12,1,208,USA,37.794,-84.654,NO_RELEASE_FOR_THIS_DATE,0,N560TW/data/recovered/N560TW_2023-03-09_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/03/09/traces/a8/trace_full_a728a8.json,2026-08-24T21:21:32Z
N560TW,2024-03-22,US_PRIVATE,ONE_ARCHIVE_ONLY,404,14,3,724,USA,32.885,-98.138,SWEPT,19803,N560TW/data/recovered/N560TW_2024-03-22_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2024/03/22/traces/a8/trace_full_a728a8.json,2026-08-24T21:27:00Z
N560TW,2025-10-14,US_PRIVATE,RETENTION_SERVING_BOUNDARY,403,14,0,2051,USA,34.419,-112.045,NOT_SWEPT,,N560TW/data/recovered/N560TW_2025-10-14_airplanes-live_trace_full.json,https://adsb.lol/globe_history/2025/10/14/traces/a8/trace_full_a728a8.json,2026-08-24T21:34:31Z
N560TW,2025-10-17,US_PRIVATE,RETENTION_SERVING_BOUNDARY,403,12,0,1627,USA,38.37,-98.88,SWEPT,80766,N560TW/data/recovered/N560TW_2025-10-17_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/17/traces/a8/trace_full_a728a8.json,2026-08-24T21:34:37Z
N560TW,2025-10-19,US_PRIVATE,RETENTION_SERVING_BOUNDARY,403,12,0,2166,USA,36.308,-98.093,NOT_SWEPT,,N560TW/data/recovered/N560TW_2025-10-19_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/19/traces/a8/trace_full_a728a8.json,2026-08-24T21:34:41Z
N560TW,2025-10-28,US_PRIVATE,RETENTION_SERVING_BOUNDARY,403,12,0,450,USA,37.934,-84.484,TRUNCATED,0,N560TW/data/recovered/N560TW_2025-10-28_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/28/traces/a8/trace_full_a728a8.json,2026-08-24T21:34:55Z
N560TW,2025-10-30,US_PRIVATE,RETENTION_SERVING_BOUNDARY,403,12,0,1213,USA,37.751,-81.894,SWEPT,71447,N560TW/data/recovered/N560TW_2025-10-30_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/30/traces/a8/trace_full_a728a8.json,2026-08-24T21:34:59Z
N560TW,2025-10-31,US_PRIVATE,RETENTION_SERVING_BOUNDARY,403,14,0,770,USA,33.924,-85.281,NOT_SWEPT,,N560TW/data/recovered/N560TW_2025-10-31_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/31/traces/a8/trace_full_a728a8.json,2026-08-24T21:35:01Z
N582MM,2023-02-06,US_PRIVATE,ARCHIVE_COVERAGE_GAP_WHOLE_DAY,404,12,0,959,USA,36.088,-90.881,NOT_SWEPT,,N582MM/data/recovered/N582MM_2023-02-06_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/02/06/traces/75/trace_full_a77e75.json,2026-08-24T21:38:13Z
N582MM,2023-02-08,US_PRIVATE,ADSB_LOL_ARCHIVE_ABSENT_THAT_DAY,404,12,0,418,USA,35.794,-110.104,NO_RELEASE_FOR_THIS_DATE,0,N582MM/data/recovered/N582MM_2023-02-08_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/02/08/traces/75/trace_full_a77e75.json,2026-08-24T21:38:17Z
N582MM,2024-03-22,US_PRIVATE,ONE_ARCHIVE_ONLY,404,14,3,874,USA,33.795,-111.956,SWEPT,19803,N582MM/data/recovered/N582MM_2024-03-22_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2024/03/22/traces/75/trace_full_a77e75.json,2026-08-24T21:44:21Z
N582MM,2024-09-16,US_PRIVATE,ONE_ARCHIVE_ONLY,404,12,1,1066,USA,35.957,-111.784,NOT_SWEPT,,N582MM/data/recovered/N582MM_2024-09-16_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2024/09/16/traces/75/trace_full_a77e75.json,2026-08-24T21:47:04Z
N582MM,2025-10-14,US_PRIVATE,RETENTION_SERVING_BOUNDARY,403,14,0,5095,USA,33.745,-81.722,NOT_SWEPT,,N582MM/data/recovered/N582MM_2025-10-14_airplanes-live_trace_full.json,https://adsb.lol/globe_history/2025/10/14/traces/75/trace_full_a77e75.json,2026-08-24T21:53:15Z
N582MM,2025-10-15,US_PRIVATE,RETENTION_SERVING_BOUNDARY,403,12,0,3039,USA,34.334,-101.358,TRUNCATED,54488,N582MM/data/recovered/N582MM_2025-10-15_airplanes-live_trace_full.json,https://adsb.lol/globe_history/2025/10/15/traces/75/trace_full_a77e75.json,2026-08-24T21:53:16Z
N582MM,2025-10-16,US_PRIVATE,RETENTION_SERVING_BOUNDARY,403,12,0,4835,USA,32.244,-82.296,SWEPT,77386,N582MM/data/recovered/N582MM_2025-10-16_airplanes-live_trace_full.json,https://adsb.lol/globe_history/2025/10/16/traces/75/trace_full_a77e75.json,2026-08-24T21:53:17Z
N582MM,2025-10-17,US_PRIVATE,RETENTION_SERVING_BOUNDARY,403,12,0,4256,USA,35.897,-80.496,SWEPT,80766,N582MM/data/recovered/N582MM_2025-10-17_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/17/traces/75/trace_full_a77e75.json,2026-08-24T21:53:20Z
N582MM,2025-10-18,US_PRIVATE,RETENTION_SERVING_BOUNDARY,403,12,0,4229,USA,36.771,-84.292,NOT_SWEPT,,N582MM/data/recovered/N582MM_2025-10-18_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/18/traces/75/trace_full_a77e75.json,2026-08-24T21:53:23Z
N582MM,2025-10-19,US_PRIVATE,RETENTION_SERVING_BOUNDARY,403,12,0,3209,USA,31.53,-80.111,NOT_SWEPT,,N582MM/data/recovered/N582MM_2025-10-19_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/19/traces/75/trace_full_a77e75.json,2026-08-24T21:53:25Z
N582MM,2025-10-20,US_PRIVATE,RETENTION_SERVING_BOUNDARY,403,12,0,4596,USA,35.685,-78.111,SWEPT,65966,N582MM/data/recovered/N582MM_2025-10-20_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/20/traces/75/trace_full_a77e75.json,2026-08-24T21:53:28Z
N582MM,2025-10-21,US_PRIVATE,RETENTION_SERVING_BOUNDARY,403,12,0,3469,USA,30.804,-87.794,SWEPT,71421,N582MM/data/recovered/N582MM_2025-10-21_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/21/traces/75/trace_full_a77e75.json,2026-08-24T21:53:30Z
N582MM,2025-10-22,US_PRIVATE,RETENTION_SERVING_BOUNDARY,403,14,0,4539,USA,32.636,-90.962,SWEPT,73154,N582MM/data/recovered/N582MM_2025-10-22_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/22/traces/75/trace_full_a77e75.json,2026-08-24T21:53:33Z
N582MM,2025-10-23,US_PRIVATE,RETENTION_SERVING_BOUNDARY,403,12,0,3418,USA,35.958,-87.824,NOT_SWEPT,,N582MM/data/recovered/N582MM_2025-10-23_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/23/traces/75/trace_full_a77e75.json,2026-08-24T21:53:35Z
N582MM,2025-10-25,US_PRIVATE,RETENTION_SERVING_BOUNDARY,403,12,0,1167,USA,31.527,-104.735,NOT_SWEPT,,N582MM/data/recovered/N582MM_2025-10-25_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/25/traces/75/trace_full_a77e75.json,2026-08-24T21:53:37Z
N582MM,2025-10-26,US_PRIVATE,RETENTION_SERVING_BOUNDARY,403,12,0,5107,USA,36.865,-97.548,SWEPT,57963,N582MM/data/recovered/N582MM_2025-10-26_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/26/traces/75/trace_full_a77e75.json,2026-08-24T21:53:40Z
N582MM,2025-10-27,US_PRIVATE,RETENTION_SERVING_BOUNDARY,403,12,0,4826,USA,38.922,-101.487,SWEPT,62074,N582MM/data/recovered/N582MM_2025-10-27_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/27/traces/75/trace_full_a77e75.json,2026-08-24T21:53:43Z
N582MM,2025-10-28,US_PRIVATE,RETENTION_SERVING_BOUNDARY,403,12,0,3216,USA,40.449,-105.008,TRUNCATED,0,N582MM/data/recovered/N582MM_2025-10-28_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/28/traces/75/trace_full_a77e75.json,2026-08-24T21:53:45Z
N582MM,2025-10-29,US_PRIVATE,RETENTION_SERVING_BOUNDARY,403,12,0,2104,USA,39.312,-115.932,SWEPT,67108,N582MM/data/recovered/N582MM_2025-10-29_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/29/traces/75/trace_full_a77e75.json,2026-08-24T21:53:48Z
N582MM,2025-10-30,US_PRIVATE,RETENTION_SERVING_BOUNDARY,403,12,0,4025,USA,29.693,-91.737,SWEPT,71447,N582MM/data/recovered/N582MM_2025-10-30_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/30/traces/75/trace_full_a77e75.json,2026-08-24T21:53:50Z
N582MM,2025-10-31,US_PRIVATE,RETENTION_SERVING_BOUNDARY,403,14,0,1416,USA,32.66,-111.137,NOT_SWEPT,,N582MM/data/recovered/N582MM_2025-10-31_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/31/traces/75/trace_full_a77e75.json,2026-08-24T21:53:52Z
N872RA,2023-02-06,US_PRIVATE,ARCHIVE_COVERAGE_GAP_WHOLE_DAY,404,12,0,1429,USA,33.966,-118.313,NOT_SWEPT,,N872RA/data/recovered/N872RA_2023-02-06_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/02/06/traces/3c/trace_full_abff3c.json,2026-08-24T21:57:12Z
N872RA,2023-02-07,US_PRIVATE,ADSB_LOL_ARCHIVE_ABSENT_THAT_DAY,404,14,0,962,USA,33.731,-116.425,NO_RELEASE_FOR_THIS_DATE,0,N872RA/data/recovered/N872RA_2023-02-07_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/02/07/traces/3c/trace_full_abff3c.json,2026-08-24T21:57:14Z
N872RA,2023-02-08,US_PRIVATE,ADSB_LOL_ARCHIVE_ABSENT_THAT_DAY,404,12,0,305,USA,33.679,-117.954,NO_RELEASE_FOR_THIS_DATE,0,N872RA/data/recovered/N872RA_2023-02-08_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/02/08/traces/3c/trace_full_abff3c.json,2026-08-24T21:57:16Z
N872RA,2023-02-09,US_PRIVATE,ADSB_LOL_ARCHIVE_ABSENT_THAT_DAY,404,14,0,1415,USA,37.522,-121.258,NO_RELEASE_FOR_THIS_DATE,0,N872RA/data/recovered/N872RA_2023-02-09_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/02/09/traces/3c/trace_full_abff3c.json,2026-08-24T21:57:18Z
N872RA,2023-02-10,US_PRIVATE,ARCHIVE_COVERAGE_GAP_WHOLE_DAY,404,14,0,1158,USA,34.281,-118.526,NOT_SWEPT,,N872RA/data/recovered/N872RA_2023-02-10_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/02/10/traces/3c/trace_full_abff3c.json,2026-08-24T21:57:20Z
N872RA,2023-05-15,US_PRIVATE,ARCHIVE_COVERAGE_GAP_WHOLE_DAY,404,12,0,12,USA,33.677,-117.871,NOT_SWEPT,,N872RA/data/recovered/N872RA_2023-05-15_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/05/15/traces/3c/trace_full_abff3c.json,2026-08-24T21:59:11Z
N872RA,2023-05-18,US_PRIVATE,ONE_ARCHIVE_ONLY,404,12,1,144,USA,33.677,-117.871,NOT_SWEPT,,N872RA/data/recovered/N872RA_2023-05-18_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/05/18/traces/3c/trace_full_abff3c.json,2026-08-24T21:59:16Z
N872RA,2023-07-14,US_PRIVATE,ONE_ARCHIVE_ONLY,404,12,4,42,USA,33.677,-117.871,SWEPT,46937,N872RA/data/recovered/N872RA_2023-07-14_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/07/14/traces/3c/trace_full_abff3c.json,2026-08-24T22:00:15Z
