date,city,state,charlie,erika,who,matched,tails_asked,tails_held,kirk_held,following_held
2025-04-11,East Lansing,MI,yes,not_documented,Charlie,no,13,6,4,1
2025-04-22,College Station,TX,yes,not_documented,Charlie,no,13,5,3,1
2025-04-24,Laramie,WY,yes,not_documented,Charlie,no,14,8,5,1
2025-05-01,San Diego,CA,yes,not_documented,Charlie,yes,13,7,4,2
2025-05-06,San Francisco,CA,yes,not_documented,Charlie,yes,13,6,5,0
2025-06-13,Grapevine,TX,yes,yes,Both,yes,13,9,5,3
2025-06-14,Grapevine,TX,yes,yes,Both,yes,13,9,4,4
2025-06-15,Grapevine,TX,yes,yes,Both,no,13,8,3,4
2025-07-09,Tampa,FL,yes,not_documented,Charlie,no,14,8,3,3
2025-07-10,Tampa,FL,yes,not_documented,Charlie,no,15,8,3,2
2025-07-11,Tampa,FL,yes,not_documented,Charlie,no,14,6,3,1
2025-07-12,Tampa,FL,yes,not_documented,Charlie,yes,14,8,3,3
2025-07-13,Tampa,FL,yes,not_documented,Charlie,no,15,7,2,2
2025-08-06,Rancho Palos Verdes,CA,yes,not_documented,Charlie,yes,15,8,3,2
2025-08-07,Rancho Palos Verdes,CA,yes,not_documented,Charlie,no,14,8,4,2
2025-08-08,Rancho Palos Verdes,CA,yes,not_documented,Charlie,yes,14,7,4,1
2025-08-20,Dallas,TX,yes,not_documented,Charlie,no,14,6,4,0
2025-08-21,Dallas,TX,yes,not_documented,Charlie,no,13,6,4,1
2025-08-21,North Myrtle Beach,SC,yes,not_documented,Charlie,no,13,6,4,1
2025-08-22,Dallas,TX,yes,not_documented,Charlie,no,12,5,3,2
2025-09-10,Orem,UT,yes,not_documented,Charlie,yes,15,11,6,2
2025-09-11,Woodland Park,CO,no_scheduled_not_held,unknown,Charlie,no,15,11,6,2
2025-09-18,Fort Collins,CO,no_scheduled_not_held,unknown,Charlie,yes,14,5,3,0
2025-09-19,Murfreesboro,TN,no_scheduled_not_held,unknown,Charlie,no,14,8,4,2
2025-09-20,Murfreesboro,TN,no_scheduled_not_held,unknown,Charlie,no,14,10,4,4
2025-09-21,Glendale,AZ,no_deceased,yes,Erika,yes,13,9,4,4
2025-09-22,Minneapolis,MN,no_deceased,unknown,TPUSA,no,13,10,4,5
2025-09-24,Blacksburg,VA,no_deceased,unknown,TPUSA,no,13,6,1,4
2025-09-25,Hanover,NH,no_scheduled_not_held,unknown,Charlie,no,13,9,5,3
2025-09-30,Logan,UT,no_deceased,unknown,TPUSA,no,14,6,2,2
2025-10-07,Bozeman,MT,no_deceased,unknown,TPUSA,no,14,6,3,1
2025-10-09,Grand Forks,ND,no_deceased,unknown,TPUSA,no,14,8,5,1
2025-10-16,Norman,OK,no_deceased,unknown,TPUSA,no,13,9,5,3
2025-10-21,Bloomington,IN,no_deceased,unknown,TPUSA,no,14,9,4,3
2025-10-27,Baton Rouge,LA,no_deceased,unknown,TPUSA,no,13,8,4,3
2025-10-29,Oxford,MS,no_deceased,unknown,TPUSA,no,13,8,5,2
