date,key,kind,city,state,entering,on_ground,tracked_fleet,milgov,foreign_civil,unregistered,tisb_artifact,pia_only,ladd_only,other
2023-04-22,20230423_topeka,event,Topeka,KS,550,0,0,0,0,0,0,0,0,0
2023-04-22,control_albuquerque,control,Albuquerque,NM,858,126,0,3,1,0,1,0,7,0
2023-04-22,control_chattanooga,control,Chattanooga,TN,874,0,0,0,0,0,0,0,0,0
2023-04-22,control_des_moines,control,Des Moines,IA,662,2,0,0,0,0,0,0,0,0
2023-04-22,control_shreveport,control,Shreveport,LA,599,0,0,0,0,0,0,0,0,0
2023-04-22,control_spokane,control,Spokane,WA,319,8,0,0,0,0,0,0,3,0
2023-04-22,control_syracuse,control,Syracuse,NY,680,0,0,0,0,0,0,0,0,0
2023-04-23,20230423_topeka,event,Topeka,KS,527,0,0,0,0,0,0,0,0,0
2023-04-23,control_albuquerque,control,Albuquerque,NM,1005,114,0,2,0,1,0,0,8,0
2023-04-23,control_chattanooga,control,Chattanooga,TN,923,0,0,0,0,0,0,0,0,0
2023-04-23,control_des_moines,control,Des Moines,IA,750,1,0,0,0,0,0,0,0,0
2023-04-23,control_shreveport,control,Shreveport,LA,686,0,0,0,0,0,0,0,0,0
2023-04-23,control_spokane,control,Spokane,WA,303,3,0,0,0,0,0,0,0,0
2023-04-23,control_syracuse,control,Syracuse,NY,639,0,0,0,0,0,0,0,0,0
2023-04-24,20230423_topeka,event,Topeka,KS,640,0,0,0,0,0,0,0,0,0
2023-04-24,control_albuquerque,control,Albuquerque,NM,981,120,0,8,1,0,0,0,4,0
2023-04-24,control_chattanooga,control,Chattanooga,TN,934,0,0,0,0,0,0,0,0,0
2023-04-24,control_des_moines,control,Des Moines,IA,794,0,0,0,0,0,0,0,0,0
2023-04-24,control_shreveport,control,Shreveport,LA,652,0,0,0,0,0,0,0,0,0
2023-04-24,control_spokane,control,Spokane,WA,316,9,0,0,2,0,0,0,2,0
2023-04-24,control_syracuse,control,Syracuse,NY,576,0,0,0,0,0,0,0,0,0
2023-06-08,20230609_grapevine,event,Grapevine,TX,2362,743,0,6,1,2,2,0,32,0
2023-06-08,control_albuquerque,control,Albuquerque,NM,1168,159,0,17,0,0,0,0,7,0
2023-06-08,control_chattanooga,control,Chattanooga,TN,979,0,0,0,0,0,0,0,0,0
2023-06-08,control_des_moines,control,Des Moines,IA,924,0,0,0,0,0,0,0,0,0
2023-06-08,control_shreveport,control,Shreveport,LA,875,0,0,0,0,0,0,0,0,0
2023-06-08,control_spokane,control,Spokane,WA,419,9,0,0,0,0,0,0,1,0
2023-06-08,control_syracuse,control,Syracuse,NY,737,0,0,0,0,0,0,0,0,0
2023-06-09,20230609_grapevine,event,Grapevine,TX,2497,569,0,1,0,3,1,0,8,0
2023-06-09,20230610_grapevine,event,Grapevine,TX,2497,569,0,1,0,3,1,0,8,0
2023-06-09,control_albuquerque,control,Albuquerque,NM,1163,151,0,10,0,0,0,0,4,0
2023-06-09,control_chattanooga,control,Chattanooga,TN,999,0,0,0,0,0,0,0,0,0
2023-06-09,control_des_moines,control,Des Moines,IA,910,0,0,0,0,0,0,0,0,0
2023-06-09,control_shreveport,control,Shreveport,LA,883,0,0,0,0,0,0,0,0,0
2023-06-09,control_spokane,control,Spokane,WA,347,13,0,0,0,0,0,0,3,0
2023-06-09,control_syracuse,control,Syracuse,NY,714,0,0,0,0,0,0,0,0,0
2023-06-10,20230609_grapevine,event,Grapevine,TX,2006,468,0,1,1,2,0,0,2,0
2023-06-10,20230610_grapevine,event,Grapevine,TX,2006,468,0,1,1,2,0,0,2,0
2023-06-10,20230611_grapevine,event,Grapevine,TX,2006,468,0,1,1,2,0,0,2,0
2023-06-10,control_albuquerque,control,Albuquerque,NM,1133,154,0,4,1,1,0,0,8,0
2023-06-10,control_chattanooga,control,Chattanooga,TN,1013,0,0,0,0,0,0,0,0,0
2023-06-10,control_des_moines,control,Des Moines,IA,803,0,0,0,0,0,0,0,0,0
2023-06-10,control_shreveport,control,Shreveport,LA,683,0,0,0,0,0,0,0,0,0
2023-06-10,control_spokane,control,Spokane,WA,368,14,0,0,0,0,0,0,4,0
2023-06-10,control_syracuse,control,Syracuse,NY,606,0,0,0,0,0,0,0,0,0
2023-06-11,20230610_grapevine,event,Grapevine,TX,2103,451,0,0,0,0,1,0,6,0
2023-06-11,20230611_grapevine,event,Grapevine,TX,2103,451,0,0,0,0,1,0,6,0
2023-06-11,control_albuquerque,control,Albuquerque,NM,928,110,0,5,0,1,0,0,6,0
2023-06-11,control_chattanooga,control,Chattanooga,TN,1103,0,0,0,0,0,0,0,0,0
2023-06-11,control_des_moines,control,Des Moines,IA,838,1,0,0,0,0,0,0,0,0
2023-06-11,control_shreveport,control,Shreveport,LA,765,1,0,0,0,0,0,0,0,0
