tail,date,file_date,dated_from_previous_utc_day,airport_code,airport_name,airport_city,median_km_from_field,ground_points,first_seen_utc,last_seen_utc,lat,lon,type,registration,sources,archives_agreeing,nearest_event_city,nearest_event_state,nearest_event_date,nearest_event_who,nearest_event_title,charlie_present,erika_present,event_offset_days,miles_to_event_city,within_50mi,same_day,event_page
N888KG,2022-12-01,2022-12-01,False,KPVU,Provo Municipal Airport,Provo,0.22,57,2022-12-01T00:00:05.140000Z,2022-12-01T00:45:02.120000Z,40.21924,-111.71986,CL30,N888KG,adsbexchange-samples,1,Albuquerque,NM,2022-11-30,Charlie,Live Free / campus speech — University of New Mexico,yes,not_documented,-1,449.12,no,no,site/docs/Planes/following/speaking/20221130_albuquerque.mdx
N40JD,2023-02-01,2023-02-01,False,KHND,Henderson Executive Airport,Las Vegas,0.34,67,2023-02-01T19:43:39.070000Z,2023-02-01T19:47:01.040000Z,35.97544,-115.13599,PRM1,N40JD,adsbexchange-samples,1,,,,,,,,,,no,no,
N40JD,2023-02-01,2023-02-01,False,KLBB,Lubbock Preston Smith International Airport,Lubbock,1.29,2,2023-02-01T17:39:27.110000Z,2023-02-01T17:39:28.630000Z,33.67394,-101.82925,PRM1,N40JD,adsbexchange-samples,1,,,,,,,,,,no,no,
N40JD,2023-02-01,2023-02-01,False,KNEW,Lakefront Airport,New Orleans,0.16,3,2023-02-01T14:51:17.250000Z,2023-02-01T14:51:20.900000Z,30.04177,-90.02978,PRM1,N40JD,adsbexchange-samples,1,,,,,,,,,,no,no,
N872RA,2023-02-06,2023-02-06,False,KLAX,Los Angeles International Airport,Los Angeles,1.48,3,2023-02-06T00:22:14.110000Z,2023-02-06T00:22:16.270000Z,33.93623,-118.39382,BE40,N872RA,airplanes-live,1,,,,,,,,,,no,no,
N872RA,2023-02-06,2023-02-06,False,KSNA,John Wayne Orange County International Airport,Santa Ana,0.13,18,2023-02-06T01:18:55.490000Z,2023-02-06T01:21:01.700000Z,33.67556,-117.87057,BE40,N872RA,airplanes-live,1,,,,,,,,,,no,no,
N872RA,2023-02-06,2023-02-06,False,KSNA,John Wayne Orange County International Airport,Santa Ana,0.46,51,2023-02-06T15:48:56.280000Z,2023-02-06T15:54:05.490000Z,33.67906,-117.86797,BE40,N872RA,airplanes-live,1,,,,,,,,,,no,no,
N872RA,2023-02-06,2023-02-06,False,KSNA,John Wayne Orange County International Airport,Santa Ana,0.22,28,2023-02-06T21:29:38.840000Z,2023-02-06T21:33:19.280000Z,33.67417,-117.8714,BE40,N872RA,airplanes-live,1,,,,,,,,,,no,no,
N872RA,2023-02-07,2023-02-07,False,KSNA,John Wayne Orange County International Airport,Santa Ana,0.28,35,2023-02-07T14:38:53.900000Z,2023-02-07T14:50:11.280000Z,33.67357,-117.8717,BE40,N872RA,airplanes-live,1,Tempe,AZ,2023-02-08,Charlie,"Health, Wealth and Happiness — ASU Gammage",yes,not_documented,1,342.63,no,no,site/docs/Planes/following/speaking/20230208_tempe.mdx
N872RA,2023-02-07,2023-02-07,False,KSNA,John Wayne Orange County International Airport,Santa Ana,0.46,25,2023-02-07T23:30:49.020000Z,2023-02-07T23:32:58.950000Z,33.67162,-117.87208,BE40,N872RA,airplanes-live,1,Tempe,AZ,2023-02-08,Charlie,"Health, Wealth and Happiness — ASU Gammage",yes,not_documented,1,342.65,no,no,site/docs/Planes/following/speaking/20230208_tempe.mdx
N872RA,2023-02-08,2023-02-08,False,KSNA,John Wayne Orange County International Airport,Santa Ana,0.76,146,2023-02-08T22:16:00.160000Z,2023-02-08T23:15:13.990000Z,33.68166,-117.87147,BE40,N872RA,airplanes-live,1,Tempe,AZ,2023-02-08,Charlie,"Health, Wealth and Happiness — ASU Gammage",yes,not_documented,0,342.63,no,yes,site/docs/Planes/following/speaking/20230208_tempe.mdx
CONTROL-LUFTHANSA,2023-02-09,2023-02-09,False,EDDH,Hamburg Helmut Schmidt Airport,Hamburg,0.64,66,2023-02-09T10:09:02.490000Z,2023-02-09T10:12:18.680000Z,53.63264,9.9972,A319,D-AIBD,airplanes-live,1,Tempe,AZ,2023-02-08,Charlie,"Health, Wealth and Happiness — ASU Gammage",yes,not_documented,-1,5496.74,no,no,site/docs/Planes/following/speaking/20230208_tempe.mdx
CONTROL-LUFTHANSA,2023-02-09,2023-02-09,False,EDDH,Hamburg Helmut Schmidt Airport,Hamburg,0.73,66,2023-02-09T14:19:09.230000Z,2023-02-09T14:22:25.670000Z,53.63379,9.99766,A319,D-AIBD,airplanes-live,1,Tempe,AZ,2023-02-08,Charlie,"Health, Wealth and Happiness — ASU Gammage",yes,not_documented,-1,5496.7,no,no,site/docs/Planes/following/speaking/20230208_tempe.mdx
