hex,reg,type,operator,flags,event_days,distinct_cities,states,states_list,top_city,top_city_hits,top_city_share,off_m1,off_0,off_p1,day0_share,control_cities,control_contaminated
a87cf4,N646QS,C68A,"NETJETS SALES INC, ENTROTECH INC, PINEHILL NJ INVESTMENTS LLC, I",NONE,6,4,4,CA|CO|FL|TX,"Dallas,TX",3,0.5,2,2,2,0.333,Des Moines,yes
a79433,N588FX,CL30,"FLEXJET LLC, CENTURY III INC, FIFTH THIRD BANK, US BANK NA TRUST",NONE,6,4,3,CA|IL|TX,"Rancho Palos Verdes,CA",3,0.429,2,3,2,0.429,Albuquerque,yes
a8926a,N651WE,GLF6,BANK OF UTAH TRUSTEE,dbflag:LADD,6,4,2,CA|NJ,"Rancho Palos Verdes,CA",6,0.667,4,3,2,0.333,,no
ad0d3a,N940AT,B712,DELTA AIR LINES INC,NONE,6,4,4,GA|LA|MI|TX,"Detroit,MI",6,0.6,5,3,2,0.3,Chattanooga|Des Moines,yes
a389c0,N327QS,E55P,"NETJETS SALES INC, GALLATIN LLC, NEW ADVENTURES LLC, SMITHFIELD ",NONE,6,4,3,AZ|NJ|TX,"San Antonio,TX",3,0.375,2,2,4,0.25,Albuquerque|Spokane,yes
a70fb6,N554QS,C68A,"RED MOON 88 LLC, CRS AVIATION INC, CHRISS JAMES ALEXANDER, DUNIF",NONE,6,4,4,AZ|CA|GA|NJ,"Rancho Palos Verdes,CA",3,0.5,3,2,1,0.333,,no
a85ce3,N638QS,C68A,TEXTRON AVIATION INC,NONE,6,4,4,AZ|NJ|TX|UT,"Phoenix,AZ",3,0.5,3,1,2,0.167,Albuquerque|Des Moines,yes
acf497,N934AT,B712,WELLS FARGO TRUST CO NA TRUSTEE,NONE,6,4,3,GA|MI|NJ,"Detroit,MI",6,0.5,4,3,5,0.25,Chattanooga|Des Moines,yes
a35365,N313QS,C680,NETJETS SALES INC,NONE,6,4,4,AZ|CA|CO|MI,"Phoenix,AZ",3,0.333,3,4,2,0.444,Chattanooga|Des Moines|Spokane,yes
a0cb44,N150MB,CL30,CRAFT CHARTER LLC,dbflag:LADD,6,4,4,CA|DC|NJ|TX,"Grapevine,TX",2,0.333,1,3,2,0.5,,no
a19679,N201HR,C750,IHEARTMEDIA MANAGEMENT SERVICES INC,dbflag:LADD,6,4,3,AZ|FL|NJ,"Phoenix,AZ",3,0.429,1,4,2,0.571,Albuquerque,yes
a5945e,N459JL,H25B,H850XP V LLC,dbflag:LADD,6,4,4,CO|FL|GA|NJ,"West Palm Beach,FL",6,0.6,5,4,1,0.4,Albuquerque,yes
adca9b,N988TX,C750,RYAN AIR LLC,NONE,6,4,4,AZ|CA|FL|NJ,"Tampa,FL",3,0.429,1,3,3,0.429,,no
accd18,N924AT,B712,BCC EQUIPMENT LEASING CORP,NONE,6,4,4,GA|MI|NJ|TX,"Detroit,MI",8,0.727,2,5,4,0.455,Des Moines,yes
ab274c,N818CF,C750,BOSS 8 LLC,NONE,6,4,3,AZ|GA|TX,"Phoenix,AZ",2,0.333,2,3,1,0.5,Albuquerque,yes
a41fe7,N365LP,LJ45,NO BULL AIR LLC,dbflag:LADD,6,4,3,AZ|MN|NV,"Phoenix,AZ",3,0.5,3,1,2,0.167,Spokane,yes
a4405f,N373QS,E55P,"NETJETS SALES INC, BANK OF UTAH TRUSTEE, HEALOGICS INC, DAVITA I",NONE,6,4,2,CA|TX,"Rancho Palos Verdes,CA",6,0.667,4,2,3,0.222,,no
a6f280,N547FX,CL30,FLEXJET LLC,NONE,6,4,4,FL|GA|IL|TX,"Dallas,TX",5,0.625,2,3,3,0.375,Albuquerque,yes
c05edb,C-GJXY,BCS3,Air Canada,non_us_registration,6,4,4,CA|CO|IL|TX,"Deerfield,IL",2,0.333,3,2,1,0.333,,no
a7c772,N600CA,BE30,METREA SPECIAL AEROSPACE ISR INC,NONE,6,4,2,AZ|TX,"Grapevine,TX",3,0.429,2,2,3,0.286,Albuquerque,yes
000001,,,,no_registration,6,4,3,AZ|CA|CO,"San Diego,CA",5,0.625,1,3,4,0.375,Albuquerque,yes
a97d85,N710RA,BE40,A & E HAWKER LP,NONE,6,4,3,AZ|CA|OR,"Rancho Palos Verdes,CA",3,0.375,3,2,3,0.25,Albuquerque|Spokane,yes
a49e39,N397QS,C680,NETJETS SALES INC,NONE,6,4,3,AZ|CA|NV,"Las Vegas,NV",3,0.429,2,3,2,0.429,,no
a4f622,N419FX,E545,FLEXJET LLC,NONE,6,4,3,AZ|CA|TN,"Phoenix,AZ",2,0.333,1,3,2,0.5,,no
aaeaba,N802QS,C700,"NETJETS SALES INC, AMBERSHORE LLC, BK TIMESAVER LLC, ECALEVOL IN",NONE,6,4,4,AZ|CA|DC|TX,"Rancho Palos Verdes,CA",3,0.429,1,2,4,0.286,Albuquerque|Des Moines,yes
a0001a,N1AZ,FA7X,WILMINGTON TRUST CO TRUSTEE,dbflag:LADD,6,4,2,AZ|CA,"Phoenix,AZ",4,0.5,2,2,4,0.25,,no
a08a6b,N134DU,BCS1,DELTA AIR LINES INC,NONE,6,4,3,CA|TX|UT,"Dallas,TX",3,0.429,2,3,2,0.429,Spokane,yes
a40ccc,N360FC,F2TH,FINN CAPITAL LLC,NONE,6,4,3,CA|DC|TX,"Dallas,TX",3,0.5,2,2,2,0.333,Albuquerque,yes
a594fa,N459QS,E55P,"AMGP LLC, BURKLAND FAMILY PARTNERS, HORGEN CHRIS, CLARK WILSON V",NONE,6,4,4,AZ|CA|TX|UT,"Grapevine,TX",4,0.571,4,1,2,0.143,Des Moines,yes
a6eb12,N545FX,CL30,FLEXJET LLC,NONE,6,4,4,AZ|CA|CO|DC,"Phoenix,AZ",2,0.333,2,2,2,0.333,,no
a3e917,N351FX,E55P,FLEXJET LLC,NONE,6,4,3,AZ|CA|TX,"Phoenix,AZ",3,0.429,2,3,2,0.429,,no
a539fb,N436FX,E545,"FLEXJET LLC, OENOPHILE LLC, HOWARD HOLDINGS INC, JOUBRAN DAVID A",NONE,6,4,4,AZ|CA|GA|TX,"Phoenix,AZ",3,0.375,2,3,3,0.375,Albuquerque|Chattanooga,yes
a69939,N524QS,C68A,"NETJETS SALES INC, JENCO LLC, PORTER RICHARD C III, SINQUEFIELD ",NONE,6,4,4,AZ|CA|CO|TX,"Phoenix,AZ",3,0.5,1,2,3,0.333,,no
a6bf49,N534A,P28A,PA28 AIRCRAFT LLC,dbflag:LADD,6,4,2,FL|MI,"Detroit,MI",6,0.6,3,3,4,0.3,,no
a46ab9,N384FX,E55P,"FLEXJET LLC, GREEN-WING EXPRESS LLC, NOVELTY INC, TARVIN PAUL, F",NONE,6,4,3,AZ|CA|TX,"Rancho Palos Verdes,CA",6,0.6,4,5,1,0.5,Albuquerque|Des Moines,yes
a4c329,N406CM,C510,MAYER HOSPITALITY GROUP LLC,NONE,6,4,2,AZ|CA,"Phoenix,AZ",5,0.5,4,4,2,0.4,,no
a72f56,N562LD,C56X,CASEY CO,NONE,6,4,2,AZ|CA,"Rancho Palos Verdes,CA",3,0.375,2,4,2,0.5,,no
a07b8f,N130DU,BCS1,DELTA AIR LINES INC,NONE,6,4,4,AZ|CA|TX|UT,"Grapevine,TX",3,0.375,4,3,1,0.375,Spokane,yes
a36130,N317DU,BCS3,DELTA AIR LINES INC,NONE,6,4,3,CA|NC|TX,"Grapevine,TX",4,0.5,1,3,4,0.375,Albuquerque,yes
a40d2e,N360KA,BE30,BEDOUIN LLC,NONE,6,4,2,CA|NV,"Rancho Palos Verdes,CA",5,0.625,2,5,1,0.625,,no
a7c7d2,N600FX,E550,"TWELFTH STREET PARTNERS LLC, ARUNDALE ANNE LEWIN, GENAV 2 LLC, B",NONE,6,4,3,AZ|CA|NE,"Phoenix,AZ",3,0.5,0,2,4,0.333,Albuquerque,yes
a6c826,N536QS,C68A,"NETJETS SALES INC, BANK OF AMERICA NA, BIG DAWG LLC, TCNJ LLC, E",NONE,6,4,4,AZ|CA|GA|NV,"Las Vegas,NV",3,0.5,2,1,3,0.167,Albuquerque,yes
a56904,N448H,H25B,SKYCROWN LLC,dbflag:LADD,6,4,3,AZ|CA|GA,"Phoenix,AZ",3,0.5,3,1,2,0.167,,no
ab2c3a,N819QS,C700,"OVERLOOK LLC, BLADE711 LLC, BSC AVIATION LLC, SINGER DAVID B, DU",NONE,6,4,4,AZ|CA|MT|TX,"Phoenix,AZ",3,0.5,3,2,1,0.333,Des Moines,yes
a41487,N362JE,CL30,TVPX AIRCRAFT SOLUTIONS INC TRUSTEE,NONE,6,4,3,CA|DC|NV,"Las Vegas,NV",3,0.5,2,1,3,0.167,,no
ab75f9,N8379L,C172,SALE REPORTED,NONE,6,4,2,AZ|CA,"Rancho Palos Verdes,CA",7,0.636,4,3,4,0.273,,no
ac3dc8,N888YW,DA40,JOERITHAN & MP AVIATION LLC,NONE,6,4,2,AZ|CA,"Rancho Palos Verdes,CA",6,0.545,3,4,4,0.364,,no
a1f00e,N224BZ,BCS3,BANK OF UTAH TRUSTEE,NONE,6,4,3,AZ|CA|FL,"Tampa,FL",3,0.5,0,3,3,0.5,,no
a44416,N374QS,E55P,"NETJETS SALES INC, RODRIGUEZ JOAN STIEFEL, MAYZO INC, RANDALL RO",NONE,6,4,3,CO|FL|GA,"West Palm Beach,FL",2,0.333,2,4,0,0.667,Albuquerque|Des Moines,yes
a4d7e0,N411AJ,LJ45,XCEL JET MANAGEMENT INC,NONE,6,4,3,AZ|CA|NV,"Rancho Palos Verdes,CA",4,0.571,3,3,1,0.429,,no
a379d3,N323DU,BCS3,DELTA AIR LINES INC,NONE,6,4,4,FL|MN|TX|UT,"Tampa,FL",3,0.429,1,2,4,0.286,Albuquerque|Spokane|Syracuse,yes
a24370,N245JX,E145,DELUX PUBLIC CHARTER LLC,NONE,6,4,4,AZ|CA|NV|TX,"Grapevine,TX",6,0.6,4,2,4,0.2,,no
a97076,N707VM,C700,TTX HOLDINGS LLC,NONE,6,4,4,AZ|CA|NV|TX,"Dallas,TX",5,0.625,4,2,2,0.25,,no
a88e29,N650QS,C68A,"NETJETS SALES INC, MANSFIELD CHRISTOPHER, SHERMAN JOHN J, LONGHO",NONE,6,4,3,CA|GA|TX,"Dallas,TX",5,0.625,2,3,3,0.375,Albuquerque|Spokane,yes
abca36,N859QS,C700,"AIR CBA LLC, YOUNG DAVID F, HASNAIN FAHEEM, HASNAIN MARIE, FLIGH",NONE,6,4,3,CA|CO|TX,"Dallas,TX",3,0.5,1,3,2,0.5,Des Moines,yes
ada526,N979AT,B712,DELTA AIR LINES INC,NONE,6,4,2,GA|TX,"Dallas,TX",5,0.417,4,5,3,0.417,Chattanooga|Des Moines,yes
ad876e,N971AT,B712,DELTA AIR LINES INC,NONE,6,4,3,GA|MI|TX,"Detroit,MI",6,0.462,3,4,6,0.308,Des Moines,yes
a53db2,N437FX,E545,"FLEXJET LLC, JSP PLANE 2 LLC, VASQUEZ VIRGINIA, SHACC AIR LLC, F",NONE,6,4,3,FL|MI|TX,"Detroit,MI",2,0.286,1,4,2,0.571,,no
a95514,N700FJ,GLF4,BIZAV AIRCRAFT MANAGEMENT LLC,NONE,6,4,3,CA|FL|GA,"West Palm Beach,FL",3,0.429,2,2,3,0.286,,no
a822d1,N623QS,C68A,"NETJETS SALES INC, WARD MICHAEL, THUNNUS LLC, THREE HORSES LLC, ",NONE,6,4,4,AZ|CA|DC|TX,"Washington,DC",5,0.455,3,4,4,0.364,Spokane,yes
a0fef7,,,,dbflag:PIA|no_registration,6,4,3,AZ|MT|TX,"Dallas,TX",7,0.7,3,4,3,0.4,,no
a3a9d1,N335QS,E55P,"NETJETS SALES INC, BAS ENTERPRISES INC, FLIGHT FUND GOLF LLC, TH",NONE,6,4,4,CA|CO|GA|MN,"Rancho Palos Verdes,CA",3,0.429,3,3,1,0.429,Chattanooga,yes
a6e480,N543QS,C68A,"NETJETS SALES INC, ELEVATION CAPITAL PARTNERS LLC, LILLIS CHARLE",NONE,6,4,3,AZ|TX|VA,"Phoenix,AZ",3,0.5,2,3,1,0.5,Des Moines,yes
ad413b,N953QS,C68A,"GREAT SOUTH BAY LLC, ADAMCZYK DARIUS, GYPSY ROSE AVIATION LLC, S",NONE,6,4,3,CA|TN|TX,"Denton,TX",2,0.286,3,3,1,0.429,Spokane,yes
a379c0,N323D,P28A,PROFESSIONAL TRAINING AIRCRAFT LLC,dbflag:LADD,6,4,2,FL|GA,"Tampa,FL",3,0.429,3,2,2,0.286,,no
a0c581,N149QD,PC12,QUEST DIAGNOSTICS CLINICAL LABORATORIES INC,NONE,6,4,2,GA|TX,"Dallas,TX",6,0.429,4,5,5,0.357,,no
a3431a,N3090A,PA44,FLIGHT TRAINING AIRCRAFT LLC,dbflag:LADD,6,4,2,CA|GA,"Rancho Palos Verdes,CA",6,0.667,4,3,2,0.333,,no
a05a84,N1215V,LJ45,SUNSHINE AVIATION LLC,NONE,6,4,3,GA|MN|TX,"Grapevine,TX",5,0.625,2,3,3,0.375,Syracuse,yes
abd096,N860TX,C750,CITATION X LEASING LLC,NONE,6,4,4,AZ|CA|MT|TX,"Grapevine,TX",6,0.667,5,2,2,0.222,Albuquerque|Spokane,yes
a26381,N253JX,E135,BANK OF UTAH TRUSTEE,NONE,6,4,3,AZ|CA|UT,"Rancho Palos Verdes,CA",7,0.7,4,3,3,0.3,,no
a8abe1,N658QS,C56X,NETJETS SALES INC,NONE,6,4,4,AZ|CA|DC|TX,"Washington,DC",4,0.5,2,3,3,0.375,Chattanooga,yes
a39d9b,N332DU,BCS3,DELTA AIR LINES INC,NONE,6,4,3,CA|MN|TX,"Minneapolis,MN",3,0.375,3,4,1,0.5,Spokane,yes
ae06e1,163553,BE20,,dbflag:military|non_us_registration,6,3,2,AZ|CA,"Phoenix,AZ",5,0.625,3,3,2,0.375,Albuquerque,yes
a0c9fc,N15Y,GLF4,G4SP LLC,dbflag:LADD,6,3,3,CA|DC|NJ,"Rancho Palos Verdes,CA",3,0.5,2,2,2,0.333,Des Moines,yes
a47a71,N388QS,C680,NETJETS SALES INC,NONE,6,3,3,AZ|NJ|TX,"Phoenix,AZ",5,0.625,4,2,2,0.25,,no
ad2c9f,N948TX,C750,WHEELS UP PARTNERS LLC,NONE,6,3,3,FL|NJ|TX,"West Palm Beach,FL",3,0.375,2,3,3,0.375,,no
a3e585,N350HJ,CL30,LR60 296 FLORIDA HOLDINGS INC,NONE,6,3,2,FL|NJ,"Tampa,FL",5,0.5,3,4,3,0.4,,no
a7df86,N606WJ,H25B,EXPRESS TRANSPORTATION CORP,dbflag:LADD,6,3,3,AZ|DC|NJ,"Phoenix,AZ",4,0.5,3,2,3,0.25,,no
a2d62c,N282HV,C560,TVPX AIRCRAFT SOLUTIONS INC TRUSTEE,dbflag:LADD,6,3,2,NJ|TX,"Dallas,TX",3,0.5,2,2,2,0.333,Albuquerque,yes
a37ab7,N323NX,PC12,TRIAL SUPPORT SERVICES INC,dbflag:LADD,6,3,2,MT|TX,"Grapevine,TX",4,0.667,0,3,3,0.5,,no
a4dcba,N412N,E55P,NICHOLAS SERVICES LLC,dbflag:LADD,6,3,3,AZ|FL|TX,"Tampa,FL",5,0.625,2,3,3,0.375,,no
a64a3b,N504QS,C68A,"NETJETS SALES INC, SHAW INDUSTRIES INC, VARIAN MEDICAL SYSTEMS I",NONE,6,3,3,AZ|CA|IL,"Phoenix,AZ",4,0.667,4,1,1,0.167,Albuquerque,yes
ab8c6d,N843QS,C700,"024 FAMILY AL HOLDINGS LLC, ADVANCE PUBLICATIONS INC, BANK OF UT",NONE,6,3,3,AZ|CA|FL,"Phoenix,AZ",6,0.75,4,2,2,0.25,Spokane,yes
ab4b2a,N827DC,GLF6,TDC MANAGEMENT LLC,NONE,6,3,2,AZ|TX,"Dallas,TX",3,0.5,1,3,2,0.5,Spokane,yes
a32b44,N303JE,CL30,TVPX AIRCRAFT SOLUTIONS INC TRUSTEE,NONE,6,3,3,AZ|CA|DC,"Rancho Palos Verdes,CA",4,0.571,2,2,3,0.286,Albuquerque|Spokane,yes
aa3764,N7577N,C182,AARON AVIATION LLC,NONE,6,3,2,AZ|CA,"San Diego,CA",9,0.818,3,3,5,0.273,,no
acbfd4,N920TA,C72R,ATP AIRCRAFT 4 LLC,dbflag:LADD,6,3,2,AZ|CA,"San Diego,CA",3,0.429,2,3,2,0.429,,no
ab6cbd,N835UP,B350,WHEELS UP PARTNERS LLC,NONE,6,3,2,CA|NV,"Las Vegas,NV",3,0.5,1,2,3,0.333,,no
a44ec6,N377L,PC12,TVPX AIRCRAFT SOLUTIONS INC TRUSTEE,NONE,6,3,2,AZ|UT,"Phoenix,AZ",7,0.778,2,2,5,0.222,Albuquerque,yes
a9d12e,N7310V,BL17,BELL RICHARD J,NONE,6,3,2,AZ|CA,"Phoenix,AZ",6,0.6,4,3,3,0.3,,no
a29d25,N268EM,EA50,TOTAL ECLIPSE II LLC,NONE,6,3,2,AZ|NV,"Phoenix,AZ",5,0.714,1,4,2,0.571,Albuquerque,yes
a829e9,N625MF,H25B,REGISTRATION PENDING,NONE,6,3,2,AZ|CA,"Rancho Palos Verdes,CA",5,0.625,3,3,2,0.375,,no
a6fffe,N550FX,CL30,FLEXJET LLC,NONE,6,3,3,AZ|CA|NV,"Las Vegas,NV",3,0.5,3,1,2,0.167,,no
aa7bcf,N775CC,PC12,PEOPLE'S CAPITAL AND LEASING CORP,dbflag:LADD,6,3,3,CA|NV|UT,"Las Vegas,NV",6,0.667,3,3,3,0.333,,no
a335fa,N306DU,BCS3,DELTA AIR LINES INC,NONE,6,3,3,CA|MI|TX,"Dallas,TX",4,0.5,2,4,2,0.5,Albuquerque|Spokane,yes
a1e4e9,N221BZ,BCS3,BANK OF UTAH TRUSTEE,NONE,6,3,2,AZ|FL,"Phoenix,AZ",5,0.714,1,3,3,0.429,,no
a6a739,N528FX,CL30,FLEXJET LLC,NONE,6,3,3,CA|NV|TX,"Las Vegas,NV",5,0.625,2,3,3,0.375,Albuquerque,yes
a04a41,N118DL,H25B,"CHAUCER CREEK OUTDOORS LLC, PDTT LLC",dbflag:LADD,6,3,3,AZ|FL|UT,"Tampa,FL",6,0.6,2,4,4,0.4,Albuquerque,yes
a9bcf5,N7265Z,C72R,ATP AIRCRAFT 2 LLC,dbflag:LADD,6,3,2,AZ|CA,"Phoenix,AZ",6,0.75,3,2,3,0.25,,no
a20467,N229WC,C172,JEFFERY & WEISS HOLDINGS LLC,NONE,6,3,2,AZ|CA,"Los Angeles,CA",6,0.5,4,4,4,0.333,,no
ab1fea,N816CT,SR20,SIX CT LLC,NONE,6,3,2,CA|NV,"Rancho Palos Verdes,CA",7,0.636,5,3,3,0.273,,no
a4fc94,N420KV,LJ60,"TROPICANA BUILDING II LLC, BOWLING CONSTRUCTION LLC",NONE,6,3,3,AZ|CA|NV,"Las Vegas,NV",3,0.429,1,3,3,0.429,Albuquerque,yes
a1d3b4,N217BZ,BCS3,BANK OF UTAH TRUSTEE,NONE,6,3,2,AZ|CA,"Phoenix,AZ",9,0.818,3,4,4,0.364,Syracuse,yes
a2608a,N252SP,C172,SKYSUITE AVIATION LLC,NONE,6,3,2,AZ|CA,"Rancho Palos Verdes,CA",7,0.636,5,3,3,0.273,,no
a0224c,N1079D,BE9L,GUARDIAN FLIGHT LLC,dbflag:LADD,6,3,2,AZ|NV,"Las Vegas,NV",4,0.571,2,3,2,0.429,Albuquerque,yes
a24401,N245QS,CL60,"NETJETS SALES INC, BRYANT ANDY, PHEFFER BRETT, PHEFFER GAIL, HOR",NONE,6,3,2,AZ|TX,"Grapevine,TX",6,0.667,3,3,3,0.333,,no
a28809,N262SP,BE30,ALUMINUM EAGLE LLC,NONE,6,3,3,AZ|CO|UT,"Phoenix,AZ",5,0.625,4,3,1,0.375,,no
a12701,N1732S,C172,CAREER PILOT TRAINING LLC,dbflag:LADD,6,3,2,AZ|UT,"Phoenix,AZ",8,0.667,3,4,5,0.333,,no
abed68,N868JS,C56X,FRAYER JETS 2 LLC,NONE,6,3,3,AZ|NV|TX,"Phoenix,AZ",3,0.5,3,2,1,0.333,Albuquerque|Syracuse,yes
ab3129,N820DC,SW4,CBG LLC,NONE,6,3,2,AZ|CO,"Phoenix,AZ",4,0.667,1,2,3,0.333,,no
0d09b3,XA-BRA,E55P,,non_us_registration,6,3,3,AZ|NV|TX,"Phoenix,AZ",3,0.429,1,2,4,0.286,,no
a4f21b,N418CS,C25B,"TVPX AIRCRAFT SOLUTIONS INC TRUSTEE, TALKNG ROCK LLC",dbflag:LADD,6,3,2,AZ|GA,"Phoenix,AZ",5,0.714,1,2,4,0.286,Albuquerque,yes
a7c8ae,N600QS,C56X,NETJETS SALES INC,NONE,6,3,3,AZ|CA|TX,"Phoenix,AZ",3,0.429,0,3,4,0.429,,no
aceacf,N931QS,C68A,"GIFFIN AERO LLC, COLLINS ANDREW J, COLLINS LILA SOMERS, DYNAMIC ",NONE,6,3,3,AZ|FL|MN,"West Palm Beach,FL",3,0.5,2,2,2,0.333,Des Moines,yes
a1d76b,N218BZ,BCS3,BANK OF UTAH TRUSTEE,NONE,6,3,3,CA|FL|NV,"Las Vegas,NV",4,0.571,1,4,2,0.571,Syracuse,yes
aa42f7,N760QS,CL30,"NETJETS SALES INC, BAT LLC, BDCI LLC, ESCHENBACH CARL, PEFANIS H",NONE,6,3,3,FL|NV|TX,"Las Vegas,NV",3,0.429,1,3,3,0.429,Des Moines,yes
a69423,N523AR,CL60,BONGO BIRD LLC,NONE,6,3,3,CA|NV|TX,"Las Vegas,NV",3,0.5,2,2,2,0.333,,no
a7890e,N585FX,CL30,FLEXJET LLC,NONE,6,3,3,CA|NV|TX,"Las Vegas,NV",3,0.5,3,2,1,0.333,,no
a86e18,N642QS,C56X,NETJETS SALES INC,NONE,6,3,3,CA|FL|NV,"Las Vegas,NV",5,0.714,1,4,2,0.571,Albuquerque,yes
acd5e3,N926QS,C68A,"DIAMONDBACK E&P LLC, MORRICAL ANN, LOOMIS CAROLYN J, COHEN DAVID",NONE,6,3,3,AZ|NV|TX,"Las Vegas,NV",6,0.75,2,3,3,0.375,,no
a03c7e,N114QS,GL5T,"NETJETS SALES INC, MBS AVIATION LLC, SANDIA HOLDINGS LLC, TVPX A",NONE,6,3,3,CA|FL|NV,"Las Vegas,NV",3,0.5,1,3,2,0.5,,no
a6c46f,N535QS,C68A,"NETJETS SALES INC, HSAIR LLC, AVIS BUDGET CAR RENTAL LLC, WILMIN",NONE,6,3,3,AZ|NV|TX,"Las Vegas,NV",3,0.5,2,2,2,0.333,Albuquerque,yes
acb5fc,N918SJ,GALX,NONSTOP CAPITAL LLC,dbflag:LADD,6,3,3,AZ|CA|TX,"Phoenix,AZ",4,0.667,4,1,1,0.167,,no
ab8469,N841JS,C56X,FE XL 5253 LLC,NONE,6,3,3,AZ|CA|TX,"Grapevine,TX",3,0.5,1,3,2,0.5,Albuquerque,yes
a31ef1,N30WD,E545,KING AVIATION LLC,NONE,6,3,2,CA|TX,"Dallas,TX",3,0.5,2,2,2,0.333,,no
abfe7e,N872HL,CL30,HL AIRCRAFT LLC,dbflag:LADD,6,3,3,AZ|OK|TX,"Dallas,TX",3,0.5,3,2,1,0.333,,no
a7626b,N575QS,C56X,NETJETS SALES INC,NONE,6,3,3,AZ|GA|TX,"Dallas,TX",3,0.5,2,1,3,0.167,,no
a05514,N120QD,PC12,QUEST DIAGNOSTICS CLINICAL LABORATORIES INC,NONE,6,3,3,FL|PA|TX,"Dallas,TX",8,0.727,4,4,3,0.364,Syracuse,yes
0d0fb1,XA-MLE,C68A,,no_registration|non_us_registration,6,3,3,AZ|DC|TX,"Dallas,TX",3,0.5,1,2,3,0.333,,no
ac06c3,N874SA,PC12,TVPX ARS INC TRUSTEE,NONE,6,3,3,AZ|CA|NV,"Rancho Palos Verdes,CA",7,0.636,4,4,3,0.364,,no
ad0e23,N940LA,TBM7,RAF KS LLC,dbflag:LADD,6,3,2,KS|TX,"San Antonio,TX",3,0.429,3,2,2,0.286,,no
aa8af8,N779FE,C208,FEDERAL EXPRESS CORP,government_operator_string,6,3,3,AZ|OR|WA,"Phoenix,AZ",4,0.5,3,3,2,0.375,,no
a287da,N262QS,CL60,"AP NS HOLDINGS LLC, BIG ZIGGY LLC, LJT22 LLC, LUMEN TECHNOLOGIES",NONE,6,3,3,AZ|TX|WA,"Phoenix,AZ",3,0.429,1,3,3,0.429,Des Moines,yes
c07e2c,C-GVUH,BCS3,Air Canada,non_us_registration,6,3,2,CA|TX,"Rancho Palos Verdes,CA",3,0.5,3,2,1,0.333,Syracuse,yes
a56d9d,N449SA,F2TH,TVPX AIRCRAFT SOLUTIONS INC TRUSTEE,dbflag:LADD,6,3,3,CO|DC|TX,"San Antonio,TX",4,0.5,2,3,3,0.375,,no
ab9f00,N848QS,C700,"JUMPALINE LLC, DAWSON AMY LEVINE, NEW WINESKINS PRODUCTIONS INC,",NONE,6,3,2,AZ|TX,"Dallas,TX",3,0.5,1,2,3,0.333,Des Moines,yes
a35a97,N315NG,PC12,CLASSIC NA LLC,NONE,6,3,2,AZ|UT,"Phoenix,AZ",9,0.75,3,4,5,0.333,Albuquerque,yes
acee86,N932QS,C68A,"AVIATION WORX LLC, CHOOLJIAN ANDREW, CHOOLJIAN LAUREL, BOW & ARR",NONE,6,3,3,AZ|FL|GA,"West Palm Beach,FL",6,0.75,3,3,2,0.375,Des Moines|Spokane,yes
ad4395,N954AT,B712,DELTA AIR LINES INC,NONE,6,3,2,GA|TX,"Grapevine,TX",5,0.625,3,2,3,0.25,Chattanooga|Des Moines,yes
a5487b,N44CE,GLF4,EVERGREEN EXECUTIVE HOLDINGS LLC,government_operator_string,6,3,2,FL|GA,"West Palm Beach,FL",8,0.8,4,3,3,0.3,,no
ad1605,N942QS,C68A,"BARBAIR LLC, AUTOMOTIVE RENTALS INC, LABAHN CHARLES, LABAHN MARY",NONE,6,3,3,DC|FL|TX,"Washington,DC",4,0.5,3,4,1,0.5,,no
a59b0a,N460QS,E55P,"CNH INDUSTRIAL AMERICA LLC, DYER CAMPBELL ROBERT, GEAR ONE LLC, ",NONE,6,3,3,FL|TN|TX,"West Palm Beach,FL",3,0.429,1,2,4,0.286,,no
a1a9bc,N206QS,CL60,"NETJETS SALES INC, BANK OF AMERICA, B-JET LLC, EAST AVIATION MAN",NONE,6,3,3,DC|FL|TX,"West Palm Beach,FL",3,0.5,2,2,2,0.333,,no
ab48f5,N826UP,B350,WHEELS UP PARTNERS LLC,NONE,6,3,2,FL|TX,"West Palm Beach,FL",3,0.5,2,2,2,0.333,,no
a9ed53,N739JS,C25B,HUFF AIR LLC,NONE,6,3,2,FL|GA,"West Palm Beach,FL",3,0.429,2,2,3,0.286,Des Moines,yes
aa30a1,N756DC,S22T,BGMA15 LLC,dbflag:LADD,6,3,2,FL|GA,"West Palm Beach,FL",3,0.5,1,2,3,0.333,,no
a712a5,N555GS,F2TH,MID-ATLANTIC AVIATION LLC,dbflag:LADD,6,3,3,AZ|CO|FL,"Tampa,FL",5,0.714,3,2,2,0.286,,no
a59a2e,N460FX,GLF4,FLEXJET LLC,NONE,6,3,2,CO|TX,"Dallas,TX",5,0.556,2,3,4,0.333,,no
a1e5eb,N221NG,PC12,TVPX AIRCRAFT SOLUTIONS INC TRUSTEE,NONE,6,3,2,AZ|TX,"Phoenix,AZ",4,0.667,1,2,3,0.333,,no
aa78bc,N774JS,C25B,GPOC AIR LLC,NONE,6,3,3,DC|FL|TX,"Tampa,FL",5,0.556,2,3,4,0.333,Albuquerque,yes
a38d90,N328RS,CL30,REED EQUIPMENT DIVISION LLC,NONE,6,3,2,AZ|TX,"Dallas,TX",4,0.571,2,4,1,0.571,,no
