hex,reg,type,operator,flags,event_days,distinct_cities,states,states_list,top_city,top_city_hits,top_city_share,off_m1,off_0,off_p1,day0_share,control_cities,control_contaminated
a120a1,N172AF,PC12,"DYNASTY FLIGHT LLC, BEACH SOUTHEAST LLC, BLACK DOG AVIATION LLC,",NONE,4,2,2,CA|FL,"Rancho Palos Verdes,CA",3,0.75,2,1,1,0.25,Albuquerque,yes
a5fc9b,N485QS,E55P,"BLUE BAY WATER LLC, GULF COAST CABINETRY LLC, WATSON HENRY KNOX ",NONE,4,2,2,TX|UT,"Dallas,TX",3,0.75,1,1,2,0.25,Albuquerque|Spokane,yes
a3206c,N300MG,E55P,EON MANAGEMENT LLC,NONE,4,2,2,AZ|TX,"Dallas,TX",5,0.833,1,2,3,0.333,,no
a882fc,N648AJ,C560,AHW AVIATION INC,NONE,4,2,2,AZ|TX,"Dallas,TX",5,0.833,1,2,3,0.333,,no
acb469,N918AF,PC12,RIGI INC,NONE,4,2,2,AZ|FL,"Tampa,FL",5,0.833,2,2,2,0.333,,no
a4719a,N386AF,PC12,"BANK OF UTAH TRUSTEE, BOLGER THOMAS J, GOMEL HOLDINGS LLC, KAILI",NONE,4,2,2,CA|FL,"Rancho Palos Verdes,CA",3,0.75,1,1,2,0.25,,no
aac850,N794QS,CL35,"NETJETS SALES INC, ADJ COTTAGE PROPERTIES LLC, BDT CAPITAL PARTN",NONE,4,2,2,FL|TX,"Grapevine,TX",5,0.833,1,2,3,0.333,,no
aae3d7,N800WF,H25B,VARSITY AVIATION LLC,NONE,4,2,2,CA|FL,"Tampa,FL",3,0.75,2,1,1,0.25,,no
a0da26,N154MH,GLF5,CINEMA AIRCRAFT EXECUTIVE TRANSPORTATION LLC,dbflag:LADD|government_operator_string,4,2,2,CA|TX,"Dallas,TX",6,0.857,2,3,2,0.429,,no
a15865,N186QS,GL7T,"FLYING LEAP LLC, BRINSON GARY P TRUSTEE, LALLY LYNN, PENOBSCOT P",NONE,4,2,2,CA|TX,"Dallas,TX",5,0.833,2,3,1,0.5,,no
a0c8f7,N15MP,C56X,MKAM AVIATION LLC,NONE,4,2,2,FL|MN,"Tampa,FL",5,0.833,2,2,2,0.333,Albuquerque,yes
a91b40,N686TX,H25B,YOUR JET LLC,NONE,4,2,2,OK|TX,"Grapevine,TX",5,0.833,2,3,1,0.5,Albuquerque,yes
a34b64,N311JV,BE40,ACME LEASING LLC,NONE,4,2,2,GA|TX,"Gainesville,GA",2,0.5,1,2,1,0.5,,no
aa6d10,N771DG,C56X,FUNERAL DIRECTORS LIFE INSURANCE CO,NONE,4,2,2,CA|TX,"Rancho Palos Verdes,CA",2,0.5,2,2,0,0.5,Chattanooga,yes
a29e24,N268QS,CL60,"ANTON RX LLC, BARTON MALOW HOLDINGS LLC, BOLLINGER CONSTRUCTION ",NONE,4,2,2,AZ|CA,"Rancho Palos Verdes,CA",5,0.833,2,3,1,0.5,Albuquerque,yes
a4ae1f,N400RG,BE40,N400RG LEASING LLC,NONE,4,2,2,CA|TX,"Grapevine,TX",5,0.833,1,2,3,0.333,,no
ab0032,N808GG,C750,ND AVIATION LLC,dbflag:LADD,4,2,2,CA|TX,"Rancho Palos Verdes,CA",6,0.857,4,2,1,0.286,,no
a7cbcc,N601JP,CL60,LOVE AVIATION LLC,NONE,4,2,2,AZ|TX,"Grapevine,TX",5,0.714,3,2,2,0.286,,no
a9f821,N741VE,GLF4,TVPX AIRCRAFT SOLUTIONS INC TRUSTEE,dbflag:LADD,4,2,2,CA|TX,"Grapevine,TX",3,0.75,2,1,1,0.25,,no
a64e7e,N505WG,C56X,505WG LLC,NONE,4,2,2,FL|TX,"Grapevine,TX",2,0.5,1,2,1,0.5,,no
a02047,N107SB,BE40,N107SB SHARES LLC,NONE,4,2,2,CO|TX,"Grapevine,TX",5,0.714,1,3,3,0.429,,no
a35a31,N315JE,CL30,TVPX AIRCRAFT SOLUTIONS INC TRUSTEE,NONE,4,2,2,CA|TX,"Grapevine,TX",3,0.75,2,1,1,0.25,,no
ac7011,N900KD,C56X,THIRD ROCKMAR LLC,NONE,4,2,2,AZ|TX,"Grapevine,TX",3,0.75,1,1,2,0.25,Albuquerque,yes
ad6446,N962HC,CL35,GLOBAL FLIGHT INC,dbflag:LADD,4,2,2,CA|TX,"Grapevine,TX",2,0.5,1,2,1,0.5,,no
ac70fc,N900UP,C750,RYAN AIR LLC,NONE,4,2,2,CA|TX,"Rancho Palos Verdes,CA",3,0.6,2,2,1,0.4,,no
a145b8,N181PR,GLF4,CGF 1280 LLC,NONE,4,2,2,CA|TX,"Rancho Palos Verdes,CA",3,0.75,1,1,2,0.25,,no
