side,registry,tail,date,airport,airport_name,airport_city,median_km_from_field,ground_points,ground_segments,first_seen_utc,last_seen_utc,event_city,event_state,event_date,event_offset_days,event_who,event_title,charlie_sourced_present,erika_sourced_present,miles_to_event_city,archives_holding,archives_agreeing,ledger_verdict,adsb_lol_403_band,visit_only_in_non_adsblol_archive,adsb_lol_held_the_day,needed_wayback_or_github_backup,event_page
kirk,United States,N582MM,2024-09-12,KDAL,Dallas Love Field,Dallas,0.92,4,1,2024-09-12T01:38:04.050000Z,2024-09-12T01:38:44.790000Z,Denton,TX,2024-09-11,-1,Charlie,You're Being Brainwashed Tour — University of North Texas,yes,not_documented,30.32,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20240911_denton.mdx
kirk,United States,N582MM,2024-09-18,KAGC,Allegheny County Airport,Pittsburgh,0.58,15,2,2024-09-18T15:39:34.120000Z,2024-09-18T19:38:22.640000Z,Pittsburgh,PA,2024-09-18,0,Charlie,You're Being Brainwashed Tour — Pitt with Vivek Ramaswamy,yes,not_documented,6.57,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20240918_pittsburgh.mdx
kirk,United States,N582MM,2024-09-19,KUNV,State College Regional Airport,State College,0.67,22,1,2024-09-19T18:15:38.990000Z,2024-09-19T18:19:25.350000Z,University Park,PA,2024-09-19,0,Charlie,You're Being Brainwashed Tour — Penn State,yes,not_documented,3.36,airplanes-live,1,BOTH_HAVE_IT,no,yes,yes,no,site/docs/Planes/following/speaking/20240919_university_park.mdx
kirk,United States,N582MM,2024-09-30,KMSO,Missoula Montana Airport,Missoula,0.0,2,2,2024-09-30T05:32:08.330000Z,2024-09-30T20:32:11.340000Z,Missoula,MT,2024-09-30,0,Charlie,Brainwashed Tour + TP Action Save Big Sky Rally — University of Montana,yes,not_documented,4.2,airplanes-live,1,BOTH_HAVE_IT,no,yes,yes,no,site/docs/Planes/following/speaking/20240930_missoula.mdx
kirk,United States,N582MM,2024-10-12,KEUG,Eugene Airport,Eugene,0.65,42,1,2024-10-12T14:51:42.480000Z,2024-10-12T14:53:11.440000Z,Corvallis,OR,2024-10-11,-1,Charlie,You're Being Brainwashed Tour — Oregon State,yes,not_documented,31.22,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20241011_corvallis.mdx
kirk,United States,N582MM,2024-10-21,KATL,Hartsfield Jackson Atlanta International Airport,Atlanta,1.73,159,2,2024-10-21T02:11:54.850000Z,2024-10-21T19:31:35.120000Z,Atlanta,GA,2024-10-21,0,Charlie,Prove Me Wrong with Vivek Ramaswamy — Georgia State University,yes,not_documented,7.76,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20241021_atlanta.mdx
kirk,United States,N582MM,2024-10-21,KRDU,Raleigh-Durham International Airport,Raleigh/Durham,0.78,2,1,2024-10-21T20:29:17.520000Z,2024-10-21T20:29:18.390000Z,Chapel Hill,NC,2024-10-21,0,Charlie,Prove Me Wrong with Vivek Ramaswamy — UNC Chapel Hill,yes,not_documented,14.53,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20241021_chapel_hill.mdx
kirk,United States,N582MM,2024-10-22,KRDU,Raleigh-Durham International Airport,Raleigh/Durham,0.37,4,1,2024-10-22T00:55:37.260000Z,2024-10-22T00:55:46.880000Z,Chapel Hill,NC,2024-10-21,-1,Charlie,Prove Me Wrong with Vivek Ramaswamy — UNC Chapel Hill,yes,not_documented,14.77,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20241021_chapel_hill.mdx
kirk,United States,N582MM,2024-10-23,KLZU,Gwinnett County Briscoe Field,Lawrenceville,0.69,31,1,2024-10-23T03:54:28.460000Z,2024-10-23T03:57:26.390000Z,Duluth,GA,2024-10-23,0,Charlie,Turning Point Action Georgia For Trump rally,yes,not_documented,11.26,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20241023_duluth.mdx
kirk,United States,N582MM,2024-10-24,KLAS,Harry Reid International Airport,Las Vegas,0.64,43,1,2024-10-24T06:16:09.960000Z,2024-10-24T06:20:44.570000Z,Las Vegas,NV,2024-10-24,0,Charlie,Prove Me Wrong — UNLV (plus TP Action Trump rally),yes,not_documented,12.43,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20241024_las_vegas.mdx
