tail,date_utc,callsign,from_icao,from_place,from_state,to_icao,to_place,to_state,off_utc,on_utc,status,us_leg,us_end,path_positions,path_max_altitude_ft,path_first_utc,path_last_utc
SU-BTV,2023-02-07,SU-BTV,LFPB,Paris,IDF,KSUS,St Louis,MO,2023-02-07T12:26:15Z,2023-02-07T21:53:47Z,Arrived,yes,arrival,640,45000,2023-02-07T12:26:15Z,2023-02-07T21:52:52Z
SU-BTV,2023-02-10,SU-BTV,KSUS,St Louis,MO,KILG,Wilmington,DE,2023-02-10T15:10:13Z,2023-02-10T16:45:33Z,Arrived,yes,both,195,41000,2023-02-10T15:10:13Z,2023-02-10T16:40:21Z
SU-BTV,2023-02-13,SU-BTV,KILG,Wilmington,DE,L 31.35759 29.94798,Amreya,,2023-02-13T13:10:52Z,2023-02-13T13:10:52Z,result unknown,yes,departure,807,45000,2023-02-13T13:10:52Z,2023-02-13T22:55:47Z
SU-BND,2023-02-21,SU-BND,CYYR,Goose Bay,NL,KSUS,St Louis,MO,2023-02-21T15:44:02Z,2023-02-21T19:38:59Z,Arrived,yes,arrival,466,40000,2023-02-21T15:44:02Z,2023-02-21T19:37:49Z
SU-BND,2023-02-21,SU-BND,KSUS,St Louis,MO,KCPS,Cahokia/St Louis,IL,2023-02-21T20:25:52Z,2023-02-21T20:35:36Z,Arrived,yes,both,23,3200,2023-02-21T20:25:52Z,2023-02-21T20:34:59Z
SU-BTT,2023-02-25,SU-BTT,LFPB,Paris,IDF,KSUS,St Louis,MO,2023-02-25T10:07:27Z,2023-02-25T18:42:48Z,Arrived,yes,arrival,559,43100,2023-02-25T10:07:27Z,2023-02-25T18:41:54Z
SU-BTT,2023-03-02,SU-BTT,KSUS,St Louis,MO,KILG,Wilmington,DE,2023-03-02T14:01:58Z,2023-03-02T15:29:44Z,Arrived,yes,both,184,39000,2023-03-02T14:01:58Z,2023-03-02T15:29:20Z
SU-BTT,2023-03-04,SU-BTT,KILG,Wilmington,DE,L 29.92355 31.43824,Cairo,,2023-03-04T14:56:54Z,2023-03-04T14:56:54Z,result unknown,yes,departure,828,45000,2023-03-04T14:56:54Z,2023-03-05T01:20:06Z
SU-BTU,2023-03-07,SU-BTU,LFPB,Paris,IDF,KSUS,St Louis,MO,2023-03-07T10:19:03Z,2023-03-07T19:01:04Z,Arrived,yes,arrival,603,43000,2023-03-07T10:19:03Z,2023-03-07T18:59:55Z
SU-BTU,2023-03-13,SU-BTU,KSUS,St Louis,MO,KICT,Wichita,KS,2023-03-13T12:00:51Z,2023-03-13T12:58:55Z,Arrived,yes,both,125,40000,2023-03-13T12:00:51Z,2023-03-13T12:58:17Z
SU-BTU,2023-03-13,SU-BTU,KICT,Wichita,KS,KILG,Wilmington,DE,2023-03-13T14:21:23Z,2023-03-13T16:35:28Z,Arrived,yes,both,274,41100,2023-03-13T14:21:23Z,2023-03-13T16:34:28Z
SU-BTU,2023-03-14,SU-BTU,KILG,Wilmington,DE,L 31.31534 30.12904,Amreya,,2023-03-14T12:01:43Z,2023-03-14T12:01:43Z,result unknown,yes,departure,828,45000,2023-03-14T12:01:43Z,2023-03-14T21:59:46Z
SU-BGM,2023-03-28,SU-BGM,CYYR,Goose Bay,NL,KSUS,St Louis,MO,2023-03-28T14:26:52Z,2023-03-28T18:12:46Z,Arrived,yes,arrival,442,38000,2023-03-28T14:26:52Z,2023-03-28T18:12:08Z
SU-BGM,2023-03-28,SU-BGM,KSUS,St Louis,MO,KCPS,Cahokia/St Louis,IL,2023-03-28T19:07:24Z,2023-03-28T19:25:54Z,Arrived,yes,both,46,3600,2023-03-28T19:07:24Z,2023-03-28T19:25:17Z
SU-BTT,2023-04-06,SU-BTT,KSUS,St Louis,MO,KILG,Wilmington,DE,2023-04-06T13:58:18Z,2023-04-06T15:34:49Z,Arrived,yes,both,202,41000,2023-04-06T13:58:18Z,2023-04-06T15:33:49Z
SU-BTT,2023-04-08,SU-BTT,KILG,Wilmington,DE,HEAZ,El Nozha,C,2023-04-08T11:51:43Z,2023-04-08T21:45:59Z,Arrived,yes,departure,877,45000,2023-04-08T11:51:43Z,2023-04-08T21:45:22Z
SU-BTT,2023-04-14,SU-BTT,LFPB,Paris,IDF,KICT,Wichita,KS,2023-04-14T09:00:16Z,2023-04-14T18:24:17Z,Arrived,yes,arrival,618,43000,2023-04-14T09:00:16Z,2023-04-14T18:23:31Z
SU-BTT,2023-04-20,SU-BTT,KICT,Wichita,KS,KILG,Wilmington,DE,2023-04-20T14:46:26Z,2023-04-20T17:03:36Z,Arrived,yes,both,275,41100,2023-04-20T14:46:26Z,2023-04-20T17:01:18Z
SU-BTT,2023-04-21,SU-BTT,KILG,Wilmington,DE,L 30.57802 30.73222,Cairo,,2023-04-21T11:59:38Z,2023-04-21T11:59:38Z,result unknown,yes,departure,869,45000,2023-04-21T11:59:38Z,2023-04-21T22:27:39Z
SU-BTU,2023-05-01,SU-BTU,LFPB,Paris,IDF,KBGR,Bangor,ME,2023-05-01T11:13:02Z,2023-05-01T17:50:15Z,Arrived,yes,arrival,487,40100,2023-05-01T11:13:02Z,2023-05-01T17:49:20Z
SU-BTU,2023-05-01,SU-BTU,KBGR,Bangor,ME,KSUS,St Louis,MO,2023-05-01T18:45:38Z,2023-05-01T21:16:37Z,Arrived,yes,both,315,43000,2023-05-01T18:45:38Z,2023-05-01T21:16:01Z
SU-BND,2023-05-03,SU-BND,KCPS,Cahokia/St Louis,IL,KCPS,Cahokia/St Louis,IL,2023-05-03T15:28:29Z,2023-05-03T16:36:30Z,Arrived,yes,both,145,40000,2023-05-03T15:28:29Z,2023-05-03T16:35:35Z
SU-BTU,2023-05-06,SU-BTU,KSUS,St Louis,MO,KILG,Wilmington,DE,2023-05-06T13:36:37Z,2023-05-06T15:14:30Z,Arrived,yes,both,206,41000,2023-05-06T13:36:37Z,2023-05-06T15:13:52Z
SU-BTU,2023-05-08,SU-BTU,KILG,Wilmington,DE,L 29.72122 30.01454,Amreya,,2023-05-08T11:54:06Z,2023-05-08T11:54:06Z,result unknown,yes,departure,816,45000,2023-05-08T11:54:06Z,2023-05-08T21:39:26Z
SU-BND,2023-05-09,SU-BND,KCPS,Cahokia/St Louis,IL,CYYR,Goose Bay,NL,2023-05-09T20:02:01Z,2023-05-09T23:40:11Z,Arrived,yes,departure,444,41000,2023-05-09T20:02:01Z,2023-05-09T23:39:32Z
SU-BTU,2023-05-21,SU-BTU,LFPB,Paris,IDF,KSUS,St Louis,MO,2023-05-21T08:58:26Z,2023-05-21T18:10:22Z,Arrived,yes,arrival,773,43000,2023-05-21T08:58:26Z,2023-05-21T18:09:13Z
SU-BTU,2023-05-26,SU-BTU,KSUS,St Louis,MO,KILG,Wilmington,DE,2023-05-26T14:19:44Z,2023-05-26T16:05:39Z,Arrived,yes,both,213,41000,2023-05-26T14:19:44Z,2023-05-26T16:02:48Z
